OrigZoneNo,DestZoneNo,Time,Time_Minutes,FromStopPointNo,ToStopPointNo,PathIndex
119,905,7735.0,128.91666666666666,1048,2236,2
120,905,7350.0,122.5,1419,2236,4
121,905,9036.0,150.6,786,2236,7
122,905,5023.0,83.71666666666667,620,2236,16
123,905,4518.0,75.3,624,2236,18
124,905,5893.0,98.21666666666667,662,2236,11
125,905,6222.0,103.7,561,2236,5
126,905,5657.0,94.28333333333333,698,2236,16
127,905,4304.0,71.73333333333333,417,2236,28
128,905,7014.0,116.9,1032,2236,2
129,905,8170.0,136.16666666666666,1252,2236,4
130,905,7036.0,117.26666666666667,1328,2236,4
131,905,9439.0,157.31666666666666,1246,2236,7
132,905,5026.0,83.76666666666667,1142,17,1
133,905,4381.0,73.01666666666667,182,17,9
134,905,5011.0,83.51666666666667,1394,2236,1
135,905,3648.0,60.8,1126,2236,4
136,905,4823.0,80.38333333333334,1107,2236,6
137,905,3952.0,65.86666666666666,157,2236,4
138,905,4900.0,81.66666666666667,1761,17,2
139,905,4729.0,78.81666666666666,2188,2236,2
140,905,7095.0,118.25,1055,2236,2
141,905,5960.0,99.33333333333333,1660,17,14
142,905,4235.0,70.58333333333333,455,2236,19
143,905,1478.0,24.633333333333333,1803,17,1
144,905,1807.0,30.116666666666667,11,2236,12
145,905,7295.0,121.58333333333333,1268,2236,4
146,905,10306.0,171.76666666666668,1723,2236,4
147,905,10978.0,182.96666666666667,1939,17,3
148,905,4773.0,79.55,2167,2236,4
149,905,7613.0,126.88333333333334,1185,2236,8
150,905,7675.0,127.91666666666667,1059,2236,2
151,905,4055.0,67.58333333333333,367,2236,11
152,905,5466.0,91.1,1392,2236,1
153,905,6530.0,108.83333333333333,1403,2236,2
154,905,5769.0,96.15,1485,2236,4
155,905,2036.0,33.93333333333333,1647,17,1
156,905,2996.0,49.93333333333333,473,2236,4
157,905,1539.0,25.65,145,2236,18
158,905,8668.0,144.46666666666667,978,2236,3
159,905,4643.0,77.38333333333334,1765,17,2
160,905,2255.0,37.583333333333336,1613,17,1
161,905,7975.0,132.91666666666666,1329,2236,12
162,905,5851.0,97.51666666666667,1420,2236,3
163,905,5514.0,91.9,1395,2236,1
164,905,5956.0,99.26666666666667,331603,17,14
165,905,5859.0,97.65,320,2236,12
166,905,4990.0,83.16666666666667,1108,2236,7
167,905,7149.0,119.15,1491,2236,3
168,905,7546.0,125.76666666666667,1186,2236,8
169,905,6840.0,114.0,1328,2236,4
170,905,1801.0,30.016666666666666,11,2236,11
171,905,5360.0,89.33333333333333,1391,2236,1
172,905,5367.0,89.45,1072,2236,6
173,905,5127.0,85.45,326934,2236,4
174,905,9845.0,164.08333333333334,1059,2236,2
175,905,5272.0,87.86666666666666,1107,2236,6
176,905,4171.0,69.51666666666667,373,2236,3
177,905,4650.0,77.5,610,2236,18
178,905,11135.0,185.58333333333334,1554,2236,1
179,905,4410.0,73.5,2131,2236,5
180,905,6736.0,112.26666666666667,1427,2236,5
181,905,3788.0,63.13333333333333,462,2236,34
182,905,6315.0,105.25,1530,2236,4
183,905,8570.0,142.83333333333334,1043,2236,4
184,905,6463.0,107.71666666666667,1425,2236,3
185,905,6785.0,113.08333333333333,1483,2236,4
186,905,8195.0,136.58333333333334,1511,2236,4
187,905,4509.0,75.15,1065,2236,3
188,905,7296.0,121.6,1262,2236,4
189,905,5128.0,85.46666666666667,1139,17,1
190,905,3708.0,61.8,1593,17,1
191,905,4854.0,80.9,1142,17,1
192,905,5567.0,92.78333333333333,21786,2236,2
193,905,9990.0,166.5,2182,2236,1
194,905,9772.0,162.86666666666667,733,2236,7
195,905,4464.0,74.4,1071,2236,2
196,905,4757.0,79.28333333333333,642,2236,4
197,905,6760.0,112.66666666666667,2114,2236,8
198,905,5106.0,85.1,179,17,7
199,905,6008.0,100.13333333333334,1655,17,8
200,905,9632.0,160.53333333333333,789,2236,7
201,905,5766.0,96.1,681,2236,32
202,905,6570.0,109.5,1328,2236,4
203,905,7357.0,122.61666666666666,1935,2236,11
204,905,5374.0,89.56666666666666,1394,2236,1
205,905,9370.0,156.16666666666666,1554,2236,1
206,905,5439.0,90.65,1071,2236,2
207,905,12072.0,201.2,1253,2236,6
208,905,7085.0,118.08333333333333,2192,17,9
209,905,7647.0,127.45,1658,17,9
210,905,5445.0,90.75,1391,2236,1
211,905,9266.0,154.43333333333334,33541,2236,11
212,905,6181.0,103.01666666666667,929,2236,16
