Zona_Origen,Poblacion_Origen,Zona_Destino,Usa_Transporte_Publico,Parada_Origen,Parada_Destino,Tiempo_Acceso_Minutos,Tiempo_Salida_Minutos,Distancia_Acceso_Metros,Distancia_Salida_Metros,Fuente_Datos_Acceso,Fuente_Datos_Salida,Tiempo_Viaje_Total_Minutos,Tiempo_Trayecto_Minutos,Numero_Transbordos,Distancia_Viaje_Total_Km,Distancia_Trayecto_Km,Tiempo_Espera_Transbordo_Minutos,Frecuencia_Servicio,Tiempo_Acceso_Original,Tiempo_Salida_Original,Distancia_Acceso_Original_Km,Distancia_Salida_Original_Km,Tiempo_Viaje_Original_Minutos,Tiempo_Total_Puerta_a_Puerta_Minutos,Verificacion_Tiempo_Total
16,47.0,755,True,776.0,675.0,97.11262355875,4.986800445,7769.0098847,398.9440356,Calculado,Calculado,144.16942400375,42.07,0.0,37.445,33.88,0.0,7.0,47.9,5.58,3.193,0.372,95.55,144.16942400375,144.16942400375
17,495.0,740,True,496.0,502.0,6.00061525875,1.58106478375,480.0492207,126.4851827,Calculado,Calculado,16.5316800425,8.95,0.0,5.09,4.674,0.0,16.0,4.58,1.65,0.305,0.11,15.18,16.5316800425,16.5316800425
18,7.0,755,True,727.0,1825.0,62.151811695000006,7.830649504999999,4972.1449356,626.4519604,Calculado,Calculado,111.5624612,41.58,1.0,18.56,15.312,18.98,1.0,43.13,5.58,2.876,0.372,90.3,111.5624612,130.5424612
19,37980.0,736,True,46.0,47.0,2.9550068275,8.6997604025,236.4005462,695.9808322,Calculado,Calculado,12.274767230000002,0.62,0.0,1.007,0.307,0.0,65.0,3.35,7.15,0.223,0.477,11.12,12.274767230000002,12.274767230000002
20,33.0,745,True,1200.0,1096.0,23.7965468625,5.5041516,1903.723749,440.332128,Calculado,Calculado,31.3006984625,2.0,0.0,3.025,1.455,0.0,39.0,18.9,4.65,1.26,0.309,25.55,31.3006984625,31.3006984625
21,1827.0,717,True,893.0,249.0,7.378180111250001,1.52,590.2544089,101.0,Calculado,Mapeado,21.46818011125,12.57,0.0,7.634,7.333,0.0,32.0,3.0,1.52,0.2,0.101,17.08,21.46818011125,21.46818011125
22,828.0,731,True,1103.0,1108.0,37.666453515,5.1048154875,3013.3162812,408.385239,Calculado,Calculado,49.0212690025,6.25,0.0,7.94,5.851,0.0,32.0,26.02,5.33,1.734,0.355,37.6,49.0212690025,49.0212690025
23,10645.0,728,True,63.0,128.0,0.2819079325,3.70650770625,22.5526346,296.5206165,Calculado,Calculado,6.50841563875,2.52,0.0,1.285,0.995,0.0,18.0,0.73,3.62,0.049,0.241,6.87,6.50841563875,6.50841563875
24,25.0,716,True,33541.0,1078.0,35.595885894999995,0.91846033625,2847.6708716,73.4768269,Calculado,Calculado,65.94434623125,29.43,0.0,23.185,21.803,0.0,35.0,19.8,0.93,1.32,0.062,50.17,65.94434623125,65.94434623125
25,125.0,716,True,33541.0,1078.0,3.51549720625,0.91846033625,281.2397765,73.4768269,Calculado,Calculado,33.863957542499996,29.43,0.0,22.148,21.803,0.0,30.0,4.23,0.93,0.283,0.062,34.6,33.863957542499996,33.863957542499996
26,440.0,755,True,784.0,675.0,3.10050352,4.986800445,248.0402816,398.9440356,Calculado,Calculado,44.707303964999994,36.62,0.0,28.275,27.762,0.0,7.0,2.12,5.58,0.141,0.372,44.32,44.707303964999994,44.707303964999994
27,91.0,752,True,1817.0,1718.0,4.01548744375,5.48546768625,321.2389955,438.8374149,Calculado,Calculado,15.820955130000002,6.32,0.0,4.74,4.233,0.0,56.0,3.88,3.72,0.259,0.248,13.92,15.820955130000002,15.820955130000002
28,17603.0,716,True,1073.0,1078.0,2.8749088825,0.91846033625,229.9927106,73.4768269,Calculado,Calculado,15.12336921875,11.33,0.0,9.176,8.971,0.0,35.0,2.15,0.93,0.143,0.062,14.42,15.12336921875,15.12336921875
29,23.0,716,True,1836.0,1078.0,30.59521040625,0.91846033625,2447.6168325,73.4768269,Calculado,Calculado,75.6336707425,44.12,0.0,30.015,28.815,0.0,15.0,17.07,0.93,1.138,0.062,62.12,75.6336707425,75.6336707425
30,36.0,752,True,1191.0,1718.0,9.38155278625,5.48546768625,750.5242229,438.8374149,Calculado,Calculado,23.7370204725,8.87,0.0,7.011,6.279,0.0,7.0,7.25,3.72,0.483,0.248,19.83,23.7370204725,23.7370204725
31,13139.0,736,True,30.0,2048.0,10.88420359875,4.78947215625,870.7362879,383.1577725,Calculado,Calculado,17.703675755,2.03,0.0,1.975,1.256,0.0,59.0,6.35,4.43,0.423,0.296,12.82,17.703675755,17.703675755
32,100.0,713,True,1706.0,1689.0,2.15254951875,0.7462701862500001,172.2039615,59.7016149,Calculado,Calculado,22.318819705000003,19.42,0.0,11.753,11.601,0.0,5.0,1.8,0.48,0.12,0.032,21.7,22.318819705000003,22.318819705000003
33,167.0,748,True,2106.0,2259.0,1.550153175,2.96384893875,124.012254,237.1079151,Calculado,Calculado,11.894002113749998,7.38,0.0,6.219,5.965,0.0,19.0,1.5,2.3,0.1,0.154,11.18,11.894002113749998,11.894002113749998
34,934.0,727,True,1479.0,1375.0,5.13797641375,1.63998025625,411.0381131,131.1984205,Calculado,Calculado,16.85795667,10.08,0.0,7.268,6.871,0.0,48.0,4.68,1.28,0.312,0.086,16.05,16.85795667,16.85795667
35,5.0,726,True,1564.0,197.0,20.7173559775,1.76225622625,1657.3884782,140.9804981,Calculado,Calculado,49.62961220375,27.15,0.0,14.338,13.632,0.0,27.0,9.0,1.58,0.601,0.105,37.73,49.62961220375,49.62961220375
36,1543.0,713,True,1018.0,1689.0,6.0871684075,0.7462701862500001,486.9734726,59.7016149,Calculado,Calculado,8.93343859375,2.1,0.0,2.049,1.622,0.0,50.0,5.93,0.48,0.396,0.032,8.52,8.93343859375,8.93343859375
