Zona_Origen,Poblacion_Origen,Zona_Destino,Usa_Transporte_Publico,Parada_Origen,Parada_Destino,Tiempo_Acceso_Minutos,Tiempo_Salida_Minutos,Distancia_Acceso_Metros,Distancia_Salida_Metros,Fuente_Datos_Acceso,Fuente_Datos_Salida,Tiempo_Viaje_Total_Minutos,Tiempo_Trayecto_Minutos,Numero_Transbordos,Distancia_Viaje_Total_Km,Distancia_Trayecto_Km,Tiempo_Espera_Transbordo_Minutos,Frecuencia_Servicio,Tiempo_Acceso_Original,Tiempo_Salida_Original,Distancia_Acceso_Original_Km,Distancia_Salida_Original_Km,Tiempo_Viaje_Original_Minutos,Tiempo_Total_Puerta_a_Puerta_Minutos,Verificacion_Tiempo_Total
24,25.0,716,True,33541.0,1078.0,35.595885894999995,0.91846033625,2847.6708716,73.4768269,Calculado,Calculado,65.94434623125,29.43,0.0,23.185,21.803,0.0,35.0,19.8,0.93,1.32,0.062,50.17,65.94434623125,65.94434623125
25,125.0,716,True,33541.0,1078.0,3.51549720625,0.91846033625,281.2397765,73.4768269,Calculado,Calculado,33.863957542499996,29.43,0.0,22.148,21.803,0.0,30.0,4.23,0.93,0.283,0.062,34.6,33.863957542499996,33.863957542499996
26,440.0,505,True,784.0,251.0,3.10050352,3.48591390375,248.0402816,278.8731123,Calculado,Calculado,78.01641742375001,71.43,2.0,51.659,51.285,0.53,7.0,2.12,3.5,0.141,0.233,77.05,78.01641742375001,78.54641742375001
27,91.0,719,True,1129.0,1096.0,10.74854860875,6.3014092375,859.8838887,504.112739,Calculado,Calculado,34.82995784625,17.78,0.0,15.016,13.976,0.0,31.0,10.35,5.27,0.69,0.351,33.4,34.82995784625,34.82995784625
28,17603.0,716,True,1073.0,1078.0,2.8749088825,0.91846033625,229.9927106,73.4768269,Calculado,Calculado,15.12336921875,11.33,0.0,9.176,8.971,0.0,35.0,2.15,0.93,0.143,0.062,14.42,15.12336921875,15.12336921875
29,23.0,716,True,1836.0,1078.0,30.59521040625,0.91846033625,2447.6168325,73.4768269,Calculado,Calculado,75.6336707425,44.12,0.0,30.015,28.815,0.0,15.0,17.07,0.93,1.138,0.062,62.12,75.6336707425,75.6336707425
30,36.0,713,True,1158.0,1689.0,9.217734485,0.7462701862500001,737.4187588,59.7016149,Calculado,Calculado,34.93400467125,24.97,0.0,16.125,15.616,0.0,5.0,7.15,0.48,0.476,0.032,32.6,34.93400467125,34.93400467125
31,13139.0,736,True,30.0,2048.0,10.88420359875,4.78947215625,870.7362879,383.1577725,Calculado,Calculado,17.703675755,2.03,0.0,1.975,1.256,0.0,59.0,6.35,4.43,0.423,0.296,12.82,17.703675755,17.703675755
32,100.0,713,True,1706.0,1689.0,2.15254951875,0.7462701862500001,172.2039615,59.7016149,Calculado,Calculado,22.318819705000003,19.42,0.0,11.753,11.601,0.0,5.0,1.8,0.48,0.12,0.032,21.7,22.318819705000003,22.318819705000003
33,167.0,737,True,2106.0,40.0,1.550153175,19.18167633875,124.012254,1534.5341071,Calculado,Calculado,30.701829513750003,9.97,0.0,7.551,6.893,0.0,30.0,1.5,8.37,0.1,0.558,19.83,30.701829513750003,30.701829513750003
