Origin,Origin_Population,Destination,Uses_Public_Transport,FromStopPointNo,ToStopPointNo,Access_Time_Minutes,Egress_Time_Minutes,Access_Distance_Meters,Egress_Distance_Meters,Mejor_JRT,Mejor_NTR,Mejor_RIT,Mejor_ACT,Mejor_EGT,Mejor_ACD,Mejor_EGD,Mejor_SFQ,Mejor_JRD,Mejor_RID,Mejor_TWT
35,5.0,627,True,1564.0,1567.0,20.7173559775,1.5992450175,1657.3884782,127.9396014,11.88,0.0,2.52,9.0,0.37,0.601,0.024,31.0,2.774,2.149,0.0
36,1543.0,689,True,1066.0,1068.0,5.0753008625,0.9417056175,406.024069,75.3364494,8.22,0.0,2.55,4.9,0.77,0.327,0.052,94.0,2.593,2.215,0.0
37,1909.0,622,False,,,233.18943738,0.0,18655.1549904,0.0,6.3,0.0,0.0,2.15,4.15,0.143,0.276,0.0,0.42,0.0,0.0
38,81.0,675,False,,,445.96023510124996,0.0,35676.8188081,0.0,9.57,0.0,0.0,4.05,5.52,0.27,0.368,0.0,0.638,0.0,0.0
39,32.0,623,False,,,443.04576409375005,0.0,35443.6611275,0.0,4.27,0.0,0.0,3.88,0.38,0.259,0.026,0.0,0.285,0.0,0.0
40,20.0,701,True,1340.0,1344.0,8.75249743375,2.05496631125,700.1997947,164.3973049,8.95,0.0,5.45,2.98,0.52,0.199,0.034,10.0,2.997,2.764,0.0
41,247.0,706,True,844.0,846.0,2.01491927125,1.1055018,161.1935417,88.440144,4.55,0.0,1.1,2.25,1.2,0.149,0.08,45.0,1.121,0.892,0.0
42,1245.0,624,False,,,491.22698233,0.0,39298.1585864,0.0,3.22,0.0,0.0,1.6,1.62,0.107,0.108,0.0,0.215,0.0,0.0
43,25409.0,515,True,827.0,3.0,0.48154529999999995,5.0248696312500005,38.523624,401.9895705,7.42,0.0,2.55,0.87,4.0,0.058,0.267,10.0,1.267,0.943,0.0
44,76.0,708,True,1322.0,97126.0,1.56526593375,0.11628975374999999,125.2212747,9.3031803,4.7,0.0,2.57,1.78,0.35,0.119,0.023,10.0,2.147,2.005,0.0
