Origin,Origin_ZoneName,Origin_Population,Destination,Journey_Type,Uses_Public_Transport,FromStopPointNo,ToStopPointNo,Access_Time_Minutes,Travel_Time_Minutes,Egress_Time_Minutes,Total_Time_Minutes,Access_Distance_Meters,Egress_Distance_Meters,PathIndex,Mapeada_JRT,Mapeada_NTR,Mapeada_RIT,Mapeada_ACT,Mapeada_EGT,Mapeada_ACD,Mapeada_EGD,Mapeada_SFQ,Mapeada_JRD,Mapeada_RID,Mapeada_TWT
115,Doneztebe,5752,901,Public Transport,True,169.0,1005.0,3.8122406362500003,17.133333333333333,1.089115005,22.034688974583332,304.9792509,87.1292004,70.0,17.13,0,12.33,3.7,1.1,0.246,0.074,70,8.286,7.966,0.0
116,Dudea,25,901,Public Transport,True,1382.0,1078.0,12.167667668750001,31.866666666666667,0.9184603362500001,44.952794671666666,973.4134135,73.4768269,37.0,31.87,0,19.75,11.18,0.93,0.745,0.062,38,14.344,13.537,0.0
117,Durandio,7,901,Public Transport,True,1393.0,1078.0,17.567223103750003,12.216666666666669,0.9184603362500001,30.70235010666667,1405.3778483,73.4768269,2.0,12.22,0,6.43,4.85,0.93,0.323,0.062,65,3.942,3.556,0.0
118,Durango,29816,901,Public Transport,True,1375.0,1078.0,7.9867151737499995,23.95,0.9184603362500001,32.85517551,638.9372139,73.4768269,13.0,23.95,0,15.3,7.72,0.93,0.515,0.062,34,20.63,20.054,0.0
119,Ea,448,901,Public Transport,True,1048.0,1078.0,1.83149356375,65.45,0.9184603362500001,68.19995390000001,146.5194851,73.4768269,9.0,65.45,0,63.17,1.35,0.93,0.09,0.062,8,44.736,44.583,0.0
120,Eitzaga,78,901,Public Transport,True,1419.0,1078.0,36.539156758749996,63.7,0.9184603362500001,101.157617095,2923.1325407,73.4768269,9.0,63.7,1,37.92,24.85,0.93,1.656,0.062,36,37.699,35.981,0.4
121,El Callejo,72,902,Public Transport,True,786.0,209.0,0.3399924,78.9,,,27.199392,,5.0,78.9,2,76.53,0.78,1.58,0.052,0.106,7,49.38,49.222,8.85
122,El Campillo,31,903,Public Transport,True,620.0,284.0,1.921460905,35.96666666666667,,,153.7168724,,8.0,38.48,0,22.57,13.38,2.53,0.892,0.169,41,14.743,13.682,0.0
123,El Casal,482,903,Public Transport,True,624.0,284.0,2.2804269475,23.78333333333333,,,182.4341558,,4.0,23.78,0,19.43,1.82,2.53,0.121,0.169,31,12.796,12.506,0.0
124,El Castaño,251,903,Public Transport,True,662.0,284.0,0.31281822375,61.38333333333333,,,25.0254579,,14.0,61.38,1,58.22,0.63,2.53,0.042,0.169,14,27.789,27.578,7.52
125,El Puerto,159,903,Public Transport,True,561.0,245.0,3.2140743487500005,45.38333333333333,,,257.1259479,,11.0,45.38,1,38.03,2.78,4.57,0.185,0.304,28,15.199,14.71,4.82
126,El Ventorro,30,903,Public Transport,True,1744.0,284.0,1.75861780625,50.36666666666667,,,140.6894245,,4.0,56.53,0,52.08,1.92,2.53,0.128,0.169,21,24.864,24.568,0.0
127,El Villar,26,903,Public Transport,True,417.0,284.0,10.6187403575,31.85,,,849.4992286,,135.0,31.85,1,24.1,5.22,2.53,0.348,0.169,108,13.656,13.14,2.85
128,Elantxobe,337,901,Public Transport,True,1032.0,1078.0,0.794466335,54.15,0.9184603362500001,55.86292667125,63.5573068,73.4768269,9.0,54.15,0,52.55,0.67,0.93,0.044,0.062,8,38.419,38.313,0.0
129,Eleizaldea,113,901,Public Transport,True,1252.0,1078.0,0.7308817237499999,77.21666666666667,0.9184603362500001,78.86600872666668,58.4705379,73.4768269,6.0,77.22,0,75.82,0.47,0.93,0.031,0.062,8,49.178,49.085,0.0
130,Elexabeitia,31,901,Public Transport,True,1328.0,1078.0,9.5321865675,30.98333333333333,0.9184603362500001,41.43398023708333,762.5749254,73.4768269,32.0,30.98,0,21.05,9.0,0.93,0.6,0.062,32,15.818,15.156,0.0
131,Elexalde Amoroto,171,901,Public Transport,True,1246.0,1078.0,21.58872579125,96.65,0.9184603362500001,119.15718612750001,1727.0980633,73.4768269,16.0,96.65,0,78.9,16.82,0.93,1.121,0.062,24,52.763,51.58,0.0
132,Elexalde Bakio,368,904,Public Transport,True,1142.0,2220.0,5.66922335,48.86666666666667,0.90773412,55.44362413666667,453.537868,72.6187296,4.0,48.87,1,42.88,5.28,0.7,0.352,0.047,15,23.523,23.124,1.37
133,Elexalde Basauri,3445,901,Public Transport,True,182.0,1005.0,3.97670309875,27.266666666666666,1.089115005,32.33248477041667,318.1362479,87.1292004,1.0,27.27,0,22.3,3.87,1.1,0.258,0.074,40,9.889,9.557,0.0
134,Elexalde Bedia,335,901,Public Transport,True,1394.0,1078.0,1.9822940137500002,7.3,0.9184603362500001,10.20075435,158.5835211,73.4768269,2.0,7.3,0,4.12,2.25,0.93,0.149,0.062,65,2.744,2.532,0.0
135,Elexalde Derio,753,903,Public Transport,True,1126.0,2064.0,11.90212889625,32.53333333333333,,,952.1703117,,15.0,32.53,0,25.27,4.77,2.5,0.318,0.166,13,16.072,15.588,0.0
136,Elexalde Forua,474,901,Public Transport,True,1107.0,1078.0,3.1823045037499997,44.36666666666667,0.9184603362500001,48.467431506666664,254.5843603,73.4768269,18.0,44.37,1,42.13,1.3,0.93,0.086,0.062,17,25.28,25.132,6.07
137,Elexalde Galdakao,300,901,Public Transport,True,957.0,1005.0,13.24061896375,10.566666666666666,1.089115005,24.896400635416665,1059.2495171,87.1292004,145.0,10.57,0,2.47,7.0,1.1,0.466,0.074,147,2.602,2.062,0.0
138,Elexalde Gamiz,183,904,Public Transport,True,1761.0,2220.0,2.12009847875,47.9,0.90773412,50.92783259875,169.6078783,72.6187296,1.0,47.9,1,44.75,2.45,0.7,0.164,0.047,2,19.598,19.388,9.52
139,Elexalde Gorliz,3851,904,Public Transport,True,2188.0,1648.0,5.32926149125,20.316666666666663,6.839990448749999,32.485918606666665,426.3409193,547.1992359,1.0,20.32,0,10.12,4.17,6.03,0.277,0.402,6,7.451,6.772,0.0
140,Elexalde Ibarrangelu,431,901,Public Transport,True,1055.0,1078.0,9.233441205,56.266666666666666,0.9184603362500001,66.41856820791668,738.6752964,73.4768269,9.0,56.27,0,49.18,6.15,0.93,0.41,0.062,8,37.063,36.591,0.0
141,Elexalde Igorre,1765,901,Public Transport,True,1660.0,1078.0,2.26345908875,18.416666666666668,0.9184603362500001,21.598586091666668,181.0767271,73.4768269,42.0,18.42,0,15.88,1.6,0.93,0.106,0.062,40,10.805,10.636,0.0
142,Elexalde Larrabetzu,93,901,Public Transport,True,455.0,1078.0,1.57128476625,12.95,0.9184603362500001,15.4397451025,125.7027813,73.4768269,10.0,12.95,0,10.47,1.55,0.93,0.103,0.062,10,7.334,7.168,0.0
143,Elexalde Laukiz,165,903,Public Transport,True,1802.0,2064.0,2.671775835,63.516666666666666,,,213.7420668,,6.0,63.52,1,59.37,1.65,2.5,0.111,0.166,16,27.316,27.04,0.07
144,Elexalde Leioa,9378,904,Public Transport,True,10.0,2219.0,5.2774690725,30.25,0.79330144375,36.32077051625,422.1975258,63.4641155,9.0,30.25,0,27.32,2.0,0.93,0.134,0.062,15,12.035,11.839,0.0
145,Elexalde Mendata,78,901,Public Transport,True,1268.0,1078.0,23.5408681925,67.35,0.9184603362500001,91.80932852875,1883.2694554,73.4768269,6.0,67.35,0,50.03,16.38,0.93,1.092,0.062,8,33.713,32.559,0.0
146,Elexalde Nabarniz,91,901,Public Transport,True,1723.0,1078.0,52.81648708,114.53333333333332,0.9184603362500001,168.2682807495833,4225.3189664,73.4768269,6.0,114.53,0,64.87,48.73,0.93,3.249,0.062,8,45.794,42.483,0.0
147,Elexalde Orduña,13,901,Public Transport,True,1939.0,1005.0,48.338551977499996,105.55,1.089115005,154.97766698249998,3867.0841582,87.1292004,8.0,105.55,0,77.62,26.83,1.1,1.789,0.074,7,41.146,39.283,0.0
148,Elexalde Barrika,722,904,Public Transport,True,2161.0,1648.0,4.14315231625,21.98333333333333,6.839990448749999,32.96647609833333,331.4521853,547.1992359,3.0,21.98,1,13.32,2.63,6.03,0.176,0.402,5,9.572,8.994,0.12
149,Elexalde-Olabarri,26,901,Public Transport,True,1166.0,1005.0,41.35772534125,67.93333333333334,1.089115005,110.38017367958334,3308.6180273,87.1292004,7.0,67.93,2,42.4,24.43,1.1,1.629,0.074,6,23.504,21.801,4.65
150,Elexalde-Zeeta,93,901,Public Transport,True,1059.0,1078.0,21.047212135000002,65.96666666666667,0.9184603362500001,87.93233913791667,1683.7769708,73.4768269,9.0,65.97,0,45.03,20.0,0.93,1.333,0.062,8,34.258,32.862,0.0
151,Elguero,115,903,Public Transport,True,832.0,284.0,7.4525528925,15.283333333333331,,,596.2042314,,2.0,15.28,0,9.27,3.48,2.53,0.232,0.169,36,5.527,5.126,0.0
152,Elizondo,138,901,Public Transport,True,1392.0,1078.0,6.464095777500001,13.283333333333331,0.9184603362500001,20.66588944708333,517.1276622,73.4768269,2.0,13.28,0,7.45,4.9,0.93,0.326,0.062,65,4.794,4.405,0.0
153,Elorriaga,20,901,Public Transport,True,1537.0,1078.0,21.35596018375,33.983333333333334,0.9184603362500001,56.257753853333334,1708.4768147,73.4768269,25.0,33.98,1,15.33,17.72,0.93,1.181,0.062,45,9.708,8.465,0.1
154,Elorrio,6578,901,Public Transport,True,1485.0,1078.0,5.22370247625,58.8,0.9184603362500001,64.9421628125,417.8961981,73.4768269,31.0,58.8,0,52.45,5.42,0.93,0.361,0.062,30,31.722,31.298,0.0
155,Elortza,1589,904,Public Transport,True,1647.0,2220.0,3.451545445,6.4,0.90773412,10.759279565,276.1236356,72.6187296,2.0,6.4,0,3.37,2.33,0.7,0.156,0.047,21,1.315,1.112,0.0
156,Elotxelerri,418,903,Public Transport,True,473.0,2064.0,1.7098828950000002,22.716666666666665,,,136.7906316,,15.0,22.72,0,18.98,1.23,2.5,0.082,0.166,13,12.457,12.209,0.0
157,Erandiogoikoa,988,903,Public Transport,True,1809.0,2064.0,6.31785039875,16.8,,,505.4280319,,15.0,16.8,0,11.77,2.53,2.5,0.169,0.166,13,8.098,7.762,0.0
158,Erbera,441,901,Public Transport,True,978.0,1078.0,33.59047823625,83.23333333333333,0.9184603362500001,117.74227190583335,2687.2382589,73.4768269,5.0,83.23,0,46.23,36.07,0.93,2.405,0.062,15,44.052,41.585,0.0
159,Ergoien Gamiz,89,904,Public Transport,True,1765.0,2220.0,1.66877621,43.55,0.90773412,46.126510329999995,133.5020968,72.6187296,1.0,43.55,1,41.05,1.8,0.7,0.121,0.047,2,17.383,17.216,9.52
160,Ergoien Maruri,311,904,Public Transport,True,1613.0,2220.0,4.695260245,36.583333333333336,0.90773412,42.186327698333336,375.6208196,72.6187296,15.0,36.58,1,31.65,4.23,0.7,0.282,0.047,15,10.316,9.988,16.7
161,Ermitabarri-Ibarra,37,901,Public Transport,True,1327.0,1078.0,2.0104280012499998,49.7,0.9184603362500001,52.6288883375,160.8342401,73.4768269,2.0,49.7,1,47.23,1.53,0.93,0.102,0.062,9,21.094,20.929,10.05
162,Ermua,15615,901,Public Transport,True,1420.0,1078.0,2.4948969174999998,39.86666666666667,0.9184603362500001,43.28002392041667,199.5917534,73.4768269,8.0,39.87,1,36.15,2.78,0.93,0.185,0.062,25,35.289,35.042,0.4
163,Eroso-Ugarte,33,901,Public Transport,True,1395.0,1078.0,17.18499881625,15.616666666666667,0.9184603362500001,33.72012581916667,1374.7999053,73.4768269,2.0,15.62,0,2.13,12.55,0.93,0.837,0.062,65,2.502,1.603,0.0
164,Errekalde,64,901,Public Transport,True,331603.0,1078.0,20.43127811875,19.883333333333333,0.9184603362500001,41.23307178833333,1634.5022495,73.4768269,43.0,19.88,0,12.1,6.85,0.93,0.456,0.062,41,7.741,7.222,0.0
165,Errekatxo/El Regato,324,900,Public Transport,True,295.0,271.0,50.12691231875,53.45,1.57028923875,105.14720155750001,4010.1529855,125.6231391,75.0,53.53,0,10.08,41.33,2.12,2.755,0.141,78,7.95,5.054,0.0
166,Errenteria,2512,901,Public Transport,True,1690.0,1078.0,1.8464870812499998,35.75,0.9184603362500001,38.5149474175,147.7189665,73.4768269,17.0,35.75,0,33.05,1.77,0.93,0.118,0.062,16,24.871,24.69,0.0
167,Erribera,905,901,Public Transport,True,1491.0,1078.0,1.19569509125,57.65,0.9184603362500001,59.7641554275,95.6556073,73.4768269,15.0,57.65,0,55.97,0.75,0.93,0.05,0.062,15,49.199,49.086,0.0
168,Errigoiti,73,901,Public Transport,True,1163.0,1005.0,41.86090208,70.25,1.089115005,113.200017085,3348.8721664,87.1292004,7.0,70.25,2,44.87,24.28,1.1,1.618,0.074,6,25.002,23.31,4.65
169,Esparta,21,901,Public Transport,True,1328.0,1078.0,5.3891337,27.716666666666665,0.9184603362500001,34.02426070291666,431.130696,73.4768269,32.0,27.72,0,21.05,5.73,0.93,0.383,0.062,32,15.601,15.156,0.0
170,Estartetxe,956,904,Public Transport,True,12.0,2219.0,2.7072832774999998,28.383333333333333,0.79330144375,31.883918054583333,216.5826622,63.4641155,12.0,28.38,0,25.38,2.07,0.93,0.138,0.062,22,11.243,11.043,0.0
171,Estaziñoa,76,901,Public Transport,True,1391.0,1078.0,2.0090536749999997,11.95,0.9184603362500001,14.87751401125,160.724294,73.4768269,61.0,11.95,0,8.77,2.25,0.93,0.15,0.062,64,5.269,5.057,0.0
172,Etxano,74,901,Public Transport,True,1072.0,1078.0,32.71463937,36.23333333333333,0.9184603362500001,69.86643303958334,2617.1711496,73.4768269,17.0,36.23,0,17.15,18.15,0.93,1.21,0.062,16,13.238,11.965,0.0
173,Euba,244,901,Public Transport,True,326934.0,1078.0,8.23088518875,29.266666666666666,0.9184603362500001,38.41601219166667,658.4708151,73.4768269,36.0,29.82,0,20.5,8.38,0.93,0.558,0.062,38,14.934,14.313,0.0
174,Gabika,66,901,Public Transport,True,1059.0,1078.0,55.903456543749996,102.13333333333334,0.9184603362500001,158.95525021333333,4472.2765235,73.4768269,9.0,102.13,0,45.03,56.17,0.93,3.744,0.062,8,36.669,32.862,0.0
175,Gaitoka,25,901,Public Transport,True,1107.0,1078.0,8.79544210625,51.85,0.9184603362500001,61.5639024425,703.6353685,73.4768269,25.0,60.85,0,37.65,22.27,0.93,1.485,0.062,16,29.719,28.172,0.0
176,Galindo-Salcedillo,183,903,Public Transport,True,373.0,284.0,14.003841327500002,22.0,,,1120.3073062,,51.0,22.0,1,10.83,8.63,2.53,0.575,0.169,44,5.645,4.901,1.95
177,Gallarta,4142,903,Public Transport,True,623.0,284.0,2.0096592099999997,24.933333333333334,,,160.7727368,,4.0,24.93,0,20.98,1.42,2.53,0.095,0.169,31,13.35,13.087,0.0
178,Gallartu,20,901,Public Transport,True,1554.0,1004.0,33.52774266875,118.85,2.95083712375,155.3285797925,2682.2194135,236.0669699,5.0,125.18,0,90.82,32.57,1.8,2.172,0.12,4,41.873,39.581,0.0
179,Gandia,268,904,Public Transport,True,2131.0,1648.0,4.99730637875,17.15,6.839990448749999,28.987296827499996,399.7845103,547.1992359,1.0,17.15,0,7.0,4.12,6.03,0.275,0.402,6,5.674,4.998,0.0
180,Garai (San Migel),135,901,Public Transport,True,1427.0,1078.0,44.99496990125,60.96666666666667,0.9184603362500001,106.88009690416668,3599.5975921,73.4768269,14.0,60.97,0,18.75,41.28,0.93,2.752,0.062,45,24.879,22.065,0.0
181,Garaioltza,798,903,Public Transport,True,462.0,278.0,2.31731555125,53.45,,,185.3852441,,20.0,53.9,1,49.17,2.23,2.5,0.149,0.166,20,22.608,22.292,12.77
182,Garbe,467,901,Public Transport,True,1530.0,1078.0,1.1986116175,19.633333333333333,0.9184603362500001,21.750405287083332,95.8889294,73.4768269,43.0,19.63,0,17.62,1.08,0.93,0.072,0.062,40,11.502,11.368,0.0
183,Gardata-Artika,37,901,Public Transport,True,1043.0,1078.0,1.25764210625,78.76666666666667,0.9184603362500001,80.94276910916668,100.6113685,73.4768269,17.0,78.77,0,77.15,0.68,0.93,0.045,0.062,16,53.676,53.569,0.0
184,Gazaga,32,901,Public Transport,True,1425.0,1078.0,22.417921569999997,50.06666666666667,0.9184603362500001,73.40304857291667,1793.4337256,73.4768269,8.0,50.07,1,30.17,18.97,0.93,1.265,0.062,20,29.611,28.284,0.4
185,Gazeta,33,901,Public Transport,True,1483.0,1078.0,19.67472971375,74.98333333333333,0.9184603362500001,95.57652338333334,1573.9783771,73.4768269,31.0,74.98,0,54.0,20.05,0.93,1.337,0.062,30,33.314,31.914,0.0
186,Gerea,27,901,Public Transport,True,1511.0,1078.0,25.65431426125,77.78333333333333,0.9184603362500001,104.35610793083333,2052.3451409,73.4768269,8.0,79.28,1,60.67,17.68,0.93,1.179,0.062,26,51.34,50.099,3.13
187,Gernika-Lumo,12756,901,Public Transport,True,1065.0,1078.0,3.45027370125,33.85,0.9184603362500001,38.2187340375,276.0218961,73.4768269,17.0,33.85,0,29.98,2.93,0.93,0.196,0.062,16,22.853,22.595,0.0
188,Gerrikaitz,25,901,Public Transport,True,1262.0,1078.0,5.876431462499999,66.85,0.9184603362500001,73.64489179875,470.114517,73.4768269,6.0,66.85,0,59.82,6.1,0.93,0.407,0.062,8,38.702,38.232,0.0
189,Gibelorratzagako San Pelaio,953,904,Public Transport,True,1139.0,2220.0,4.40607531625,53.46666666666667,0.90773412,58.780476102916666,352.4860253,72.6187296,4.0,53.47,1,49.22,3.55,0.7,0.237,0.047,15,25.181,24.898,1.37
190,Goierri,387,904,Public Transport,True,1593.0,2219.0,19.62031106625,28.166666666666668,0.79330144375,48.58027917666667,1569.6248853,63.4641155,1.0,28.17,0,7.57,19.67,0.93,1.311,0.062,26,4.114,2.74,0.0
191,Goitisoloalde,230,904,Public Transport,True,1142.0,2220.0,2.26494488875,46.0,0.90773412,49.17267900875,181.1955911,72.6187296,4.0,46.0,1,42.88,2.42,0.7,0.161,0.047,15,23.331,23.124,1.37
192,Goiuria,27,901,Public Transport,True,21786.0,1078.0,41.72898679,37.23333333333333,0.9184603362500001,79.88078045958333,3338.3189432,73.4768269,38.0,37.23,1,16.38,19.92,0.93,1.328,0.062,40,21.568,20.178,0.77
193,Gordón,22,902,Public Transport,True,2182.0,209.0,42.45288533375,97.08333333333331,,,3396.2308267,,1.0,97.08,3,80.1,15.4,1.58,1.027,0.106,2,43.542,42.409,19.78
194,Gorgolas,23,903,Public Transport,True,733.0,278.0,37.8177963525,111.63333333333334,,,3025.4237082,,6.0,115.17,1,81.87,29.22,4.08,1.948,0.272,7,40.96,38.74,12.52
195,Gorozika,50,901,Public Transport,True,1071.0,1078.0,20.34778080875,36.03333333333333,0.9184603362500001,57.299574478333334,1627.8224647,73.4768269,17.0,36.03,0,20.88,14.22,0.93,0.948,0.062,16,16.22,15.21,0.0
196,Güeñes,1819,902,Public Transport,True,642.0,209.0,0.9359457474999999,28.15,,,74.8756598,,35.0,28.15,1,25.72,0.85,1.58,0.057,0.106,45,18.016,17.853,4.93
197,Gure Mendi,53,903,Public Transport,True,114254.0,284.0,8.82486123125,79.53333333333333,,,705.9888985,,22.0,93.32,1,84.08,6.73,2.5,0.448,0.166,18,35.158,34.543,24.53
198,Gurutzalde,140,901,Public Transport,True,179.0,1004.0,11.315618041250001,38.18333333333333,2.95083712375,52.44978849833333,905.2494433,236.0669699,45.0,38.18,0,26.7,9.68,1.8,0.646,0.12,39,11.951,11.185,0.0
199,Gutiolo,23,901,Public Transport,True,178.0,1004.0,38.87941376625,54.2,2.95083712375,96.03025089000002,3110.3531013,236.0669699,54.0,54.2,0,27.62,24.78,1.8,1.653,0.12,48,13.288,11.515,0.0
200,Herboso,10,902,Public Transport,True,789.0,209.0,13.29774508125,88.83333333333333,,,1063.8196065,,5.0,88.83,2,73.18,14.07,1.58,0.937,0.106,7,47.652,46.608,8.85
201,Herrera,129,903,Public Transport,True,681.0,283.0,0.7162177075,58.36666666666667,,,57.2974166,,10.0,58.37,1,53.05,1.23,4.08,0.083,0.272,32,28.331,27.977,10.62
202,Herriko Plaza,465,901,Public Transport,True,1328.0,1078.0,1.16629125375,23.216666666666665,0.9184603362500001,25.301418256666665,93.3033003,73.4768269,31.0,23.22,0,21.05,1.23,0.93,0.083,0.062,31,15.301,15.156,0.0
203,Ibarguen,41,901,Public Transport,True,1935.0,1078.0,7.10084609,32.43333333333333,0.9184603362500001,40.45263975958333,568.0676872,73.4768269,31.0,32.43,0,27.18,4.32,0.93,0.288,0.062,31,19.957,19.606,0.0
204,Ibarra Bedia,183,901,Public Transport,True,1394.0,1078.0,7.2359334,13.35,0.9184603362500001,21.50439373625,578.874672,73.4768269,2.0,13.35,0,4.12,8.3,0.93,0.553,0.062,65,3.148,2.532,0.0
205,Ibarra Orozko,107,901,Public Transport,True,1554.0,1004.0,5.08054823375,89.43333333333334,2.95083712375,97.46471869083334,406.4438587,236.0669699,5.0,95.77,0,90.82,3.15,1.8,0.21,0.12,4,39.911,39.581,0.0
206,Ibarruri,30,901,Public Transport,True,1071.0,1078.0,40.11864376375,52.28333333333333,0.9184603362500001,93.32043743333334,3209.4915011,73.4768269,17.0,52.28,0,20.88,30.47,0.93,2.031,0.062,16,17.303,15.21,0.0
207,Ikazurieta,18,901,Public Transport,True,1253.0,1078.0,80.73535735,142.26666666666668,0.9184603362500001,223.92048435291667,6458.828588,73.4768269,9.0,142.27,0,74.83,66.5,0.93,4.433,0.062,14,53.058,48.562,0.0
208,Indusi,29,901,Public Transport,True,2192.0,1078.0,6.9716527825,33.35,0.9184603362500001,41.24011311875,557.7322226,73.4768269,10.0,33.35,0,30.3,2.12,0.93,0.141,0.062,15,18.482,18.279,0.0
209,Intxaurbizkar,11,901,Public Transport,True,1658.0,1078.0,39.3197359725,46.88333333333333,0.9184603362500001,87.12152964208335,3145.5788778,73.4768269,15.0,46.88,0,22.7,23.25,0.93,1.55,0.062,15,14.917,13.305,0.0
210,Intzuntza,1752,901,Public Transport,True,1391.0,1078.0,4.44348512875,13.366666666666667,0.9184603362500001,18.728612131666665,355.4788103,73.4768269,61.0,13.37,0,8.77,3.67,0.93,0.244,0.062,64,5.363,5.057,0.0
211,Ipiñaburu,92,901,Public Transport,True,33541.0,1078.0,40.26613425,63.11666666666667,0.9184603362500001,104.30126125291667,3221.29074,73.4768269,37.0,63.12,0,29.43,32.75,0.93,2.183,0.062,35,24.049,21.803,0.0
212,Iratzagorria,116,903,Public Transport,True,929.0,283.0,8.35434202375,63.55,,,668.3473619,,8.0,63.55,1,55.05,4.42,4.08,0.294,0.272,17,24.584,24.018,19.87
213,Irauregi,798,902,Public Transport,True,894.0,249.0,7.99489916875,18.666666666666668,,,639.5919335,,10.0,18.67,0,11.85,5.3,1.52,0.353,0.101,32,7.322,6.867,0.0
214,Isla,26,901,Public Transport,True,1299.0,1078.0,2.936338025,71.31666666666666,0.9184603362500001,75.17146502791667,234.907042,73.4768269,6.0,71.32,1,68.12,2.27,0.93,0.151,0.062,6,31.698,31.484,25.35
215,Ispaster-Elexalde,338,901,Public Transport,True,1046.0,1078.0,1.9769858262500002,74.73333333333333,0.9184603362500001,77.62877949583334,158.1588661,73.4768269,9.0,74.73,0,72.37,1.43,0.93,0.096,0.062,8,50.626,50.468,0.0
216,Isuskitza,972,904,Public Transport,True,2092.0,1648.0,64.33634643375,59.25,6.839990448749999,130.42633688249998,5146.9077147,547.1992359,3.0,59.25,1,27.42,25.8,6.03,1.72,0.402,19,8.074,5.952,19.2
217,Iturreta,31,901,Public Transport,True,2181.0,1078.0,28.829703398750002,99.13333333333334,0.9184603362500001,128.88149706833335,2306.3762719,73.4768269,16.0,99.13,0,81.38,16.82,0.93,1.121,0.062,25,54.662,53.479,0.0
218,Iturribide,769,904,Public Transport,True,11.0,2219.0,3.0498262887500003,30.05,0.79330144375,33.893127732500005,243.9861031,63.4641155,9.0,30.05,0,26.4,2.72,0.93,0.181,0.062,15,11.703,11.46,0.0
219,Iturritxe,38,901,Public Transport,True,1390.0,1078.0,13.005274505,18.73333333333333,0.9184603362500001,32.65706817458333,1040.4219604,73.4768269,60.0,18.73,0,9.95,7.85,0.93,0.524,0.062,63,6.361,5.775,0.0
220,Iurreta,2874,901,Public Transport,True,1376.0,1078.0,2.97634227125,18.0,0.9184603362500001,21.8948026075,238.1073817,73.4768269,1.0,18.0,0,14.32,2.75,0.93,0.183,0.062,30,19.686,19.441,0.0
221,Izurtza,101,901,Public Transport,True,1432.0,1078.0,1.19522312625,33.45,0.9184603362500001,35.5636834625,95.6178501,73.4768269,1.0,33.45,1,31.08,1.43,0.93,0.096,0.062,3,23.579,23.421,4.7
222,Jauregi,143,901,Public Transport,True,1394.0,1078.0,8.94999037125,12.066666666666666,0.9184603362500001,21.935117374166666,715.9992297,73.4768269,2.0,12.07,0,4.12,7.02,0.93,0.468,0.062,65,3.063,2.532,0.0
223,Kanpantxu,61,901,Public Transport,True,1066.0,1078.0,15.9962692125,45.2,0.9184603362500001,62.11472954875,1279.701537,73.4768269,17.0,45.2,0,28.63,15.63,0.93,1.042,0.062,16,23.088,21.984,0.0
224,Kardeo,78,903,Public Transport,True,754.0,283.0,15.484956593749999,42.71666666666667,,,1238.7965275,,27.0,42.72,1,32.78,5.85,4.08,0.39,0.272,22,14.369,13.707,3.65
225,Kortezubi,206,901,Public Transport,True,1062.0,1078.0,5.0359956675,44.03333333333333,0.9184603362500001,49.987789337083335,402.8796534,73.4768269,9.0,44.03,0,37.65,5.45,0.93,0.363,0.062,8,28.597,28.172,0.0
226,Kubo,945,901,Public Transport,True,177.0,1005.0,15.229274792499998,35.5,1.089115005,51.818389797500004,1218.3419834,87.1292004,48.0,35.5,0,30.57,3.83,1.1,0.256,0.074,42,12.714,12.384,0.0
227,Kukullaga,5717,901,Public Transport,True,169.0,1005.0,8.34240352625,21.883333333333333,1.089115005,31.314851864583332,667.3922821,87.1292004,72.0,21.88,0,12.33,8.45,1.1,0.563,0.074,72,8.603,7.966,0.0
228,Kurtzea,21062,901,Public Transport,True,173.0,1005.0,1.7991393875,8.616666666666667,1.089115005,11.504921059166668,143.931151,87.1292004,121.0,8.62,0,6.27,1.25,1.1,0.083,0.074,124,4.203,4.047,0.0
229,Kurtziaga-Arropain,43,901,Public Transport,True,220863.0,1078.0,15.35883994125,95.58333333333331,0.9184603362500001,111.86063361083332,1228.7071953,73.4768269,28.0,95.58,0,79.65,15.0,0.93,1.0,0.062,27,58.116,57.053,0.0
230,La Aceña/Atxuriaga,49,903,Public Transport,True,1742.0,284.0,0.8313167512499999,56.583333333333336,,,66.5053401,,2.0,59.95,1,54.68,1.18,4.08,0.079,0.272,9,24.51,24.159,0.3
231,La Arboleda/Zugaztieta,445,903,Public Transport,True,60417.0,283.0,1.9791002,51.1,,,158.328016,,26.0,51.1,1,45.33,1.68,4.08,0.112,0.272,15,17.716,17.332,8.6
232,La Arena,340,903,Public Transport,True,556.0,283.0,4.550065765,47.13333333333333,,,364.0052612,,53.0,47.13,1,39.47,3.58,4.08,0.238,0.272,45,16.99,16.48,3.65
233,La Balastera,76,903,Public Transport,True,598.0,284.0,14.87300048875,41.25,,,1189.8400391,,9.0,44.3,0,26.6,15.17,2.53,1.011,0.169,44,16.377,15.198,0.0
234,La Baluga,878,903,Public Transport,True,696.0,284.0,4.3541858,60.5,,,348.334864,,14.0,61.12,0,57.43,1.15,2.53,0.076,0.169,14,26.825,26.58,0.0
235,La Cadena,14,902,Public Transport,True,758.0,209.0,60.49891498875,118.36666666666666,,,4839.9131991,,5.0,118.37,2,81.72,35.07,1.58,2.338,0.106,7,56.951,54.507,8.85
236,La Calera del Prado,14,902,Public Transport,True,772.0,209.0,96.88568806375,176.26666666666668,,,7750.8550451,,5.0,176.27,2,88.25,86.43,1.58,5.762,0.106,7,67.643,61.775,8.85
