Origin,Origin_ZoneName,Origin_Population,Destination,Journey_Type,Uses_Public_Transport,FromStopPointNo,ToStopPointNo,Access_Time_Minutes,Travel_Time_Minutes,Egress_Time_Minutes,Total_Time_Minutes,Access_Distance_Meters,Egress_Distance_Meters,PathIndex,Mapeada_JRT,Mapeada_NTR,Mapeada_RIT,Mapeada_ACT,Mapeada_EGT,Mapeada_ACD,Mapeada_EGD,Mapeada_SFQ,Mapeada_JRD,Mapeada_RID,Mapeada_TWT
27,Ametzaga,91,904,Public Transport,True,1148.0,2220.0,11.47727080125,40.2,0.90773412,52.585004921250004,918.1816641,72.6187296,4.0,40.2,1,29.43,10.07,0.7,0.671,0.047,15,17.086,16.368,1.15
28,Amorebieta,17603,901,Public Transport,True,1073.0,1078.0,2.8749088825,14.416666666666666,0.9184603362500001,18.210035885416666,229.9927106,73.4768269,31.0,14.42,0,11.33,2.15,0.93,0.143,0.062,35,9.176,8.971,0.0
29,Andaparaluzeta,23,901,Public Transport,True,1836.0,1078.0,30.595210406249997,62.11666666666667,0.9184603362500001,93.63033740916667,2447.6168325,73.4768269,10.0,62.12,0,44.12,17.07,0.93,1.138,0.062,15,30.015,28.815,0.0
30,Andeko,36,904,Public Transport,True,1191.0,2220.0,9.381552786250001,69.4,0.90773412,79.68928690625,750.5242229,72.6187296,3.0,69.4,1,61.45,7.25,0.7,0.483,0.047,5,19.62,19.09,25.72
31,Andra Mari Getxo,13139,903,Public Transport,True,30.0,2064.0,10.88420359875,34.916666666666664,,,870.7362879,,20.0,34.92,0,26.07,6.35,2.5,0.423,0.166,18,14.444,13.855,0.0
32,Andra Mari Morga,100,901,Public Transport,True,1706.0,1078.0,2.15254951875,28.933333333333334,0.9184603362500001,32.00434318833334,172.2039615,73.4768269,2.0,28.93,1,26.2,1.8,0.93,0.12,0.062,4,14.392,14.21,3.88
33,Andraka,167,903,Public Transport,True,2106.0,284.0,1.550153175,72.93333333333334,,,124.012254,,19.0,86.73,1,82.73,1.5,2.5,0.1,0.166,15,33.355,33.089,24.53
34,Apatamonasterio,934,901,Public Transport,True,1479.0,1078.0,5.13797641375,52.21666666666667,0.9184603362500001,58.273103416666665,411.0381131,73.4768269,12.0,53.08,0,47.47,4.68,0.93,0.312,0.062,36,28.439,28.065,0.0
35,Arakaldo,5,901,Public Transport,True,1564.0,1005.0,20.7173559775,55.25,1.089115005,77.0564709825,1657.3884782,87.1292004,30.0,55.25,0,45.15,9.0,1.1,0.601,0.074,27,21.549,20.875,0.0
36,Arana,1543,901,Public Transport,True,1066.0,1078.0,5.0753008625,34.46666666666667,0.9184603362500001,40.46042786541667,406.024069,73.4768269,17.0,34.47,0,28.63,4.9,0.93,0.327,0.062,16,22.374,21.984,0.0
