Origin,Origin_Population,Destination,Uses_Public_Transport,FromStopPointNo,ToStopPointNo,Access_Time_Minutes,Egress_Time_Minutes,Access_Distance_Meters,Egress_Distance_Meters,Total_Time_Minutes,Journey_Type,Mejor_JRT,Mejor_NTR,Mejor_RIT,Mejor_ACT,Mejor_EGT,Mejor_ACD,Mejor_EGD,Mejor_SFQ,Mejor_JRD,Mejor_RID,Mejor_TWT
396,55.0,755,True,796.0,675.0,3.47452264125,4.986800445,277.9618113,398.9440356,33.06132308625,Public Transport,25.93,0.0,16.67,3.68,5.58,0.245,0.372,7.0,12.806,12.189,0.0
397,58.0,733,True,617.0,587.0,7.433972011250001,1.5842107925,594.7177609,126.7368634,33.85151613708333,Public Transport,24.83,1.0,15.2,8.68,0.95,0.579,0.064,15.0,7.514,6.872,0.58
398,169.0,752,True,1149.0,1718.0,6.842711250000001,5.48546768625,547.4169,438.8374149,23.411512269583337,Public Transport,11.08,0.0,3.0,4.37,3.72,0.291,0.248,54.0,2.665,2.126,0.0
399,611.0,748,True,2187.0,2101.0,4.379411975,4.1110996375,350.352958,328.887971,21.423844945833334,Public Transport,12.93,0.0,5.85,3.03,4.05,0.203,0.27,70.0,4.043,3.571,0.0
400,129.0,716,True,1536.0,1078.0,6.4017496575,0.9184603362500001,512.1399726,73.4768269,24.95354332708333,Public Transport,17.63,0.0,9.33,7.37,0.93,0.491,0.062,61.0,6.33,5.777,0.0
401,1002.0,749,True,25.0,26.0,5.17919097375,0.28810997125000004,414.3352779,23.0487977,11.950634278333334,Public Transport,6.48,0.0,2.02,4.05,0.42,0.27,0.027,42.0,1.053,0.755,0.0
402,31.0,713,True,1273.0,1274.0,1.6603770812499998,2.98574116875,132.8301665,238.8592935,12.312784916666667,Public Transport,7.67,0.0,1.68,2.35,3.63,0.156,0.243,16.0,1.72,1.321,0.0
403,21.0,749,True,2028.0,26.0,4.55319342875,0.28810997125000004,364.2554743,23.0487977,15.324636733333334,Public Transport,11.13,0.0,6.43,4.28,0.42,0.286,0.027,41.0,2.66,2.347,0.0
404,4092.0,726,True,1344.0,197.0,23.355755528750002,1.7622562262500001,1868.4604423,140.9804981,47.068011755,Public Transport,21.95,0.0,18.77,1.6,1.58,0.106,0.105,33.0,8.802,8.591,0.0
405,33.0,750,True,990.0,220863.0,1.2027315175,1.43194523875,96.2185214,114.5556191,6.051343422916666,Public Transport,3.42,0.0,2.2,0.82,0.4,0.055,0.027,25.0,2.454,2.372,0.0
406,463.0,716,True,1973.0,1078.0,0.4267404525,0.9184603362500001,34.1392362,73.4768269,27.19520078875,Public Transport,25.85,0.0,24.37,0.55,0.93,0.037,0.062,15.0,14.225,14.126,0.0
407,36.0,716,True,1525.0,1078.0,1.1174360975000002,0.9184603362500001,89.3948878,73.4768269,25.83589643375,Public Transport,23.8,0.0,21.93,0.93,0.93,0.062,0.062,31.0,15.938,15.814,0.0
408,260.0,713,True,1171.0,1689.0,4.02751352875,0.7462701862500001,322.2010823,59.7016149,16.773783715,Public Transport,12.0,0.0,8.0,3.52,0.48,0.235,0.032,5.0,5.633,5.366,0.0
409,12.0,726,True,1938.0,197.0,80.55812562874999,1.7622562262500001,6444.6500503,140.9804981,189.35371518833333,Public Transport,107.03,0.0,61.47,43.98,1.58,2.932,0.105,7.0,36.108,33.07,0.0
410,691.0,714,True,360.0,329.0,1.8722267362499998,2.0380568287500003,149.7781389,163.0445463,12.710283565000001,Public Transport,8.8,0.0,5.97,0.72,2.12,0.048,0.141,50.0,3.211,3.023,0.0
411,5208.0,738,True,1593.0,2219.0,14.995224615000001,0.79330144375,1199.6179692,63.4641155,38.105192725416664,Public Transport,22.32,0.0,7.57,13.82,0.93,0.921,0.062,22.0,3.723,2.74,0.0
412,403.0,738,True,1844.0,2220.0,2.88561741625,0.90773412,230.8493933,72.6187296,24.12668486958333,Public Transport,20.33,1.0,16.77,2.87,0.7,0.191,0.047,7.0,9.273,9.036,0.1
413,36.0,716,True,33541.0,1078.0,18.039466795000003,0.9184603362500001,1443.1573436,73.4768269,63.22459379791667,Public Transport,44.27,0.0,29.43,13.9,0.93,0.926,0.062,34.0,22.792,21.803,0.0
414,44.0,731,True,1109.0,1108.0,12.47902083625,5.1048154875,998.3216669,408.385239,33.40050299041666,Public Transport,15.82,0.0,1.08,9.4,5.33,0.627,0.355,32.0,1.757,0.775,0.0
415,1599.0,726,True,1363.0,184.0,3.8550344125000002,1.93204646625,308.402753,154.5637173,11.670414212083333,Public Transport,5.88,0.0,0.65,3.4,1.83,0.226,0.123,101.0,0.758,0.408,0.0
416,3591.0,726,True,1587.0,197.0,5.32715789875,1.7622562262500001,426.1726319,140.9804981,79.77274745833334,Public Transport,72.68,0.0,67.37,3.73,1.58,0.249,0.105,7.0,37.499,37.145,0.0
417,300.0,737,True,2127.0,2097.0,1.9386599549999999,6.648139412499999,155.0927964,531.851153,13.9867993675,Public Transport,5.4,0.0,1.05,1.88,2.47,0.125,0.164,45.0,0.867,0.577,0.0
