Zona_Origen;Poblacion_Origen;Zona_Destino;Usa_Transporte_Publico;Parada_Origen;Parada_Destino;Tiempo_Acceso_Minutos;Tiempo_Salida_Minutos;Distancia_Acceso_Metros;Distancia_Salida_Metros;Tiempo_Viaje_Total_Minutos;Tiempo_Trayecto_Minutos;Numero_Transbordos;Distancia_Viaje_Total_Km;Distancia_Trayecto_Km;Tiempo_Espera_Transbordo_Minutos;Frecuencia_Servicio
248;3543;702;False;;;2.15;0.32;144.00;22.00;2.47;0;0;0.165;0;0;0
249;935;589;True;2073;39;1.93;4.87;154.66;389.59;10.33;3.53;0;2.044;1.721;0;141
250;119;652;True;1083;1085;1.93;0.83;154.17;66.08;4.12;1.37;0;1.448;1.178;0;32
251;223;671;False;;;1.57;0.53;105.00;35.00;2.10;0;0;0.14;0;0;0
252;66;641;True;780;750;81.62;2.82;6529.44;225.94;85.41;0.97;0;5.819;1.08;0;7
253;17;658;True;1250;1252;1.69;1.53;135.09;122.52;4.50;1.28;0;1.356;1.165;0;8
254;35;675;True;1536;1392;11.23;6.75;898.40;540.31;19.56;1.58;0;1.97;1.371;0;61
255;162;597;True;1148;1718;1.16;5.49;93.20;438.84;11.30;4.65;0;3.869;3.557;0;58
256;210;667;False;;;12.73;2.52;849.00;168.00;15.25;0;0;1.017;0;0;0
257;42;641;False;;;19.73;3.33;1316.00;222.00;23.07;0;0;1.537;0;0;0
258;21;579;True;614;623;6.50;2.14;519.76;171.27;12.66;4.02;0;2.721;2.298;0;91
259;1978;673;False;;;1.80;1.50;120.00;100.00;3.30;0;0;0.219;0;0;0
260;43;696;True;662;696;30.60;2.20;2447.87;176.14;34.17;1.37;0;2.579;0.991;0;7
261;95;696;True;660;661;8.96;3.09;716.48;247.26;12.98;0.93;0;1.402;0.693;0;29
262;35;590;True;2180;220863;22.11;1.43;1768.58;114.56;24.99;1.45;0;2.672;1.717;0;25
263;455;606;True;975;976;25.13;6.69;2010.18;535.11;32.92;1.1;0;2.092;1.319;0;142
264;7180;590;False;;;9.97;0.40;665.00;27.00;10.37;0;0;0.692;0;0;0
265;29;632;False;;;28.78;0.75;1919.00;50.00;29.53;0;0;1.969;0;0;0
266;90;675;True;1390;1392;5.64;6.75;451.47;540.31;14.43;2.03;0;2.046;1.369;0;58
267;5;627;True;1937;1567;76.12;1.60;6089.27;127.94;115.12;37.4;0;26.082;22.314;0;7
268;124;629;False;;;2.83;1.38;188.00;93.00;4.22;0;0;0.281;0;0;0
269;91;654;True;1784;1739;3.68;1.96;294.39;157.02;15.74;10.1;0;5.607;5.392;0;10
270;101;628;False;;;0.45;0.25;30.00;16.00;0.70;0;0;0.046;0;0;0
271;50;579;True;620;623;29.00;2.14;2320.40;171.27;35.27;4.12;0;2.87;1.873;0;61
272;615;656;False;;;4.23;1.68;283.00;113.00;5.92;0;0;0.395;0;0;0
273;56;529;True;97207;1689;17.53;0.75;1402.15;59.70;19.25;0.98;0;1.824;0.786;0;53
274;646;647;True;91;94;20.13;6.96;1610.16;556.80;29.12;2.03;0;2.346;1.557;0;41
275;110;700;False;;;2.38;2.65;159.00;177.00;5.03;0;0;0.336;0;0;0
276;19;632;False;;;29.98;0.75;1998.00;50.00;30.73;0;0;2.048;0;0;0
277;625;679;False;;;3.25;3.18;217.00;213.00;6.43;0;0;0.429;0;0;0
278;17;641;True;746;750;8.20;2.82;656.14;225.94;15.86;4.83;0;4.9;4.284;0;7
279;376;681;False;;;6.75;1.92;450.00;128.00;8.67;0;0;0.578;0;0;0
280;243;597;True;1149;1718;5.96;5.49;476.86;438.84;14.45;3;0;2.732;2.126;0;54
281;4324;593;False;;;2.00;2.10;133.00;140.00;4.10;0;0;0.273;0;0;0
282;28;701;True;1307;1311;32.41;1.80;2593.20;144.10;37.04;2.82;0;3.248;2.167;0;50
283;15;616;True;1470;1475;3.23;2.16;258.65;172.43;12.41;7.02;0;4.43;4.204;0;48
284;52;641;True;758;750;18.05;2.82;1443.62;225.94;22.97;2.1;0;3.536;2.335;0;7
285;20;685;True;1165;1706;27.47;0.88;2197.66;70.72;34.73;6.38;0;4.9;3.593;0;2
286;20;685;True;1164;1706;13.82;0.88;1105.47;70.72;21.63;6.93;0;4.129;3.922;0;2
287;17;627;True;1940;1567;70.69;1.60;5655.32;127.94;106.22;33.93;0;23.472;19.807;0;7
288;15;693;True;2006;1838;15.01;2.38;1200.91;190.77;20.98;3.58;0;4.233;3.041;0;8
289;1255;589;True;10;11;3.75;6.67;300.26;533.94;11.13;0.7;0;0.789;0.38;0;140
290;132;628;True;2144;1223;40.76;0.42;3261.04;33.93;43.37;2.18;0;2.396;1.27;0;8
291;36;636;True;1393;1394;3.88;2.25;310.45;179.72;8.36;2.23;0;1.318;1.024;0;81
292;48;646;False;;;26.15;4.23;1743.00;282.00;30.38;0;0;2.025;0;0;0
293;885;697;False;;;1.22;2.22;82.00;148.00;3.43;0;0;0.229;0;0;0
294;37;632;False;;;38.98;0.75;2598.00;50.00;39.73;0;0;2.648;0;0;0
295;147;684;False;;;2.18;1.47;146.00;98.00;3.65;0;0;0.243;0;0;0
296;56;652;False;;;46.00;1.13;3067.00;75.00;47.13;0;0;3.142;0;0;0
297;5142;622;True;2311;637;3.73;7.04;298.60;563.37;12.32;1.55;0;2.174;1.624;0;48
298;109;563;False;;;5.30;0.17;353.00;11.00;5.47;0;0;0.364;0;0;0
299;20;641;True;113250;750;12.86;2.82;1028.66;225.94;17.03;1.35;0;2.431;1.535;0;14
300;1359;589;False;;;4.63;3.18;309.00;212.00;7.82;0;0;0.521;0;0;0
301;22;696;True;658;661;27.30;3.09;2184.15;247.26;34.26;3.87;0;4.712;3.571;0;21
302;31;696;True;659;661;25.90;3.09;2071.69;247.26;31.26;2.27;0;3.18;1.888;0;21
303;9737;608;True;1649;1651;5.12;0.90;409.23;71.61;8.04;2.03;0;1.206;0.802;0;34
304;1649;686;False;;;1.37;2.28;91.00;153.00;3.65;0;0;0.244;0;0;0
305;12276;597;False;;;4.23;1.38;282.00;93.00;5.62;0;0;0.375;0;0;0
306;239;687;False;;;0.35;1.12;23.00;75.00;1.47;0;0;0.098;0;0;0
307;1743;616;True;1474;1475;2.27;2.16;181.51;172.43;5.22;0.8;0;0.844;0.583;0;33
308;52;673;True;598;599;9.07;1.73;725.63;138.38;11.65;0.85;0;1.238;0.594;0;90
309;242;636;True;1398;1399;10.84;1.90;866.81;151.88;14.83;2.1;0;1.667;1.039;0;80
310;115;688;False;;;2.87;1.10;191.00;74.00;3.97;0;0;0.265;0;0;0
311;36;692;True;1579;1569;7.03;2.47;562.67;164.00;15.58;6.08;0;4.631;3.873;0;27
312;45;632;False;;;11.77;0.75;784.00;50.00;12.52;0;0;0.834;0;0;0
313;199;643;True;2178;1039;2.85;0.11;227.95;8.62;5.49;2.53;0;2.094;1.824;0;9
314;1529;589;True;2073;39;5.59;4.87;447.16;389.59;13.99;3.53;0;2.119;1.721;0;157
315;185;517;True;585;587;5.56;0.93;445.06;74.17;8.96;2.47;0;1.689;1.599;0;105
316;43;642;True;1975;1973;59.15;2.59;4731.66;207.51;64.01;2.27;0;4.022;1.615;0;15
317;68;697;True;686;693;1.61;2.33;129.03;186.34;13.54;9.6;0;6.438;6.13;0;8
318;559;583;False;;;4.57;0.75;305.00;50.00;5.32;0;0;0.355;0;0;0
319;36;623;True;75582;1529;2.31;1.54;184.88;123.31;4.60;0.75;0;1.138;0.968;0;36
320;69;642;False;;;9.42;1.65;628.00;110.00;11.07;0;0;0.738;0;0;0
321;537;570;False;;;9.18;1.80;613.00;120.00;10.98;0;0;0.733;0;0;0
322;8139;599;True;1713;1488;8.51;5.07;680.64;405.58;16.56;2.98;0;2.463;1.96;0;34
323;2005;589;False;;;7.25;2.18;484.00;146.00;9.43;0;0;0.629;0;0;0
324;35;685;True;1705;1706;16.73;0.88;1338.74;70.72;19.92;2.3;0;1.415;0.853;0;4
325;42;665;True;1415;1417;51.40;1.65;4112.20;131.61;54.35;1.3;0;3.329;1.71;0;33
326;7457;517;True;586;587;2.42;0.93;193.55;74.17;4.13;0.78;0;0.59;0.434;0;97
327;1265;693;True;2005;2307;1.48;2.15;118.08;171.62;4.25;0.63;0;0.591;0.43;0;15
328;22;707;False;;;8.78;1.13;586.00;76.00;9.92;0;0;0.662;0;0;0
329;44;641;False;;;54.10;3.33;3607.00;222.00;57.43;0;0;3.829;0;0;0
330;120;699;False;;;4.67;4.33;312.00;288.00;9.00;0;0;0.6;0;0;0
331;34;565;False;;;23.33;2.95;1555.00;197.00;26.28;0;0;1.752;0;0;0
332;44;667;False;;;12.75;2.52;850.00;168.00;15.27;0;0;1.018;0;0;0
333;28;641;True;744;750;39.24;2.82;3139.30;225.94;49.00;6.93;0;7.373;5.523;0;7
334;110;589;True;2150;39;13.41;4.87;1073.16;389.59;21.58;3.3;0;1.934;1.007;0;105
335;1955;589;True;37;39;6.02;4.87;481.43;389.59;12.32;1.43;0;1.232;0.835;0;160
336;523;707;False;;;1.08;1.02;73.00;68.00;2.10;0;0;0.141;0;0;0
337;2684;694;False;;;3.53;1.83;236.00;123.00;5.37;0;0;0.358;0;0;0
338;184;598;True;711;951;0.96;4.22;76.62;337.55;12.20;7.02;0;4.122;3.833;0;47
339;444;574;True;435;495;13.49;0.86;1079.30;68.65;18.25;3.9;0;3.968;3.081;0;67
340;44885;573;True;303;224;1.90;2.03;152.35;162.54;4.37;0.43;0;0.502;0.228;0;12
341;18;627;True;1937;1567;58.17;1.60;4653.46;127.94;97.17;37.4;0;24.729;22.314;0;7
342;396;675;False;;;4.87;5.52;324.00;368.00;10.38;0;0;0.692;0;0;0
343;46;671;True;767;770;31.88;1.28;2550.61;102.00;40.18;7.02;0;6.963;4.962;0;7
344;195;673;True;598;599;6.80;1.73;544.37;138.38;9.38;0.85;0;0.962;0.594;0;91
345;24;641;True;113250;750;61.44;2.82;4915.44;225.94;65.62;1.35;0;4.584;1.535;0;14
346;478;583;False;;;0.65;0.75;43.00;50.00;1.40;0;0;0.094;0;0;0
347;254;589;True;2029;11;2.95;6.67;235.85;533.94;11.02;1.4;0;0.755;0.37;0;30
348;55;701;True;1342;1344;20.67;2.05;1653.44;164.40;23.59;0.87;0;1.526;0.54;0;107
349;72;563;True;201;203;2.85;0.10;228.03;7.93;4.08;1.13;0;0.729;0.599;0;88
350;41;646;True;1481;1482;3.21;5.11;257.13;408.90;9.11;0.78;0;1.435;1;0;36
351;242;589;True;2264;39;3.66;4.87;293.19;389.59;13.63;5.1;0;2.872;2.42;0;150
352;7;671;True;766;770;1.11;1.28;88.73;102.00;10.61;8.23;0;5.749;5.682;0;7
353;131;641;True;780;750;31.97;2.82;2557.22;225.94;35.76;0.97;0;2.358;1.08;0;7
354;1850;574;True;511;512;5.32;0.83;425.58;66.47;7.68;1.53;0;1.128;0.788;0;84
355;36;654;True;1731;1739;9.78;1.96;782.74;157.02;20.07;8.32;0;4.747;4.239;0;10
356;43;675;True;1391;1392;5.91;6.75;472.87;540.31;13.51;0.85;0;1.412;0.651;0;61
357;54;616;True;1468;1475;0.46;2.16;36.44;172.43;11.48;8.87;0;5.617;5.453;0;15
358;6038;598;True;765;764;1.25;3.90;99.83;312.36;6.53;1.38;0;0.955;0.722;0;24
359;299;583;False;;;8.42;0.75;561.00;50.00;9.17;0;0;0.611;0;0;0
360;399;589;True;10;11;4.17;6.67;333.26;533.94;11.54;0.7;0;0.74;0.38;0;128
361;44;700;False;;;2.88;2.65;192.00;177.00;5.53;0;0;0.369;0;0;0
362;241;598;True;2141;548;5.73;1.12;458.62;89.34;8.60;1.75;0;1.844;1.6;0;58
363;118;709;True;557;558;0.29;4.02;23.28;321.94;5.34;1.02;0;0.748;0.572;0;33
364;145;697;True;691;693;2.84;2.33;227.06;186.34;7.35;2.18;0;1.778;1.429;0;14
365;117;631;True;802;804;0.51;11.68;41.08;934.54;14.00;1.8;0;1.38;1.194;0;7
366;44;579;True;582;610;4.74;0.69;379.14;55.54;6.95;1.52;0;1.311;0.929;0;56
367;242;654;False;;;1.48;1.90;99.00;127.00;3.38;0;0;0.226;0;0;0
368;84;689;True;1015;1016;0.40;1.49;32.37;118.90;2.42;0.53;0;0.857;0.707;0;56
369;28;709;True;544;545;1.21;3.69;96.76;295.12;5.28;0.38;0;0.388;0.267;0;18
370;101375;587;True;282;283;1.66;1.70;132.83;136.12;3.69;0.33;0;0.451;0.22;0;201
371;968;659;True;933;935;1.53;1.32;122.37;105.24;4.22;1.37;0;1.189;0.999;0;17
372;1830;709;True;751;545;4.42;3.69;353.38;295.12;12.64;4.53;0;3.474;3.255;0;17
373;44;671;True;768;770;3.03;1.28;242.62;102.00;6.98;2.67;0;2.639;2.387;0;7
374;54;631;True;2186;804;3.14;11.68;250.90;934.54;22.19;7.37;0;4.299;3.937;0;7
375;2939;570;False;;;11.32;1.80;755.00;120.00;13.12;0;0;0.875;0;0;0
376;68;579;True;2212;623;1.20;2.14;95.73;171.27;7.42;4.08;0;2.226;2.111;0;3
377;40;583;True;1968;1660;27.58;2.69;2206.03;215.51;31.64;1.37;0;2.521;0.809;0;15
378;32;641;True;113250;750;64.91;2.82;5193.09;225.94;69.09;1.35;0;4.096;1.535;0;7
379;156;673;True;702;580;2.04;1.77;163.40;141.23;7.44;3.63;0;2.562;2.31;0;80
380;28;616;True;1465;1475;1.60;2.16;127.99;172.43;15.28;11.52;0;7.124;6.916;0;15
381;171;564;True;58;61;9.82;1.25;785.22;99.87;14.11;3.05;0;2.169;1.517;0;17
382;53;678;True;1663;408;0.14;3.53;10.98;282.61;9.35;5.68;0;5.017;4.799;0;9
383;46088;592;False;;;2.52;0.73;168.00;49.00;3.25;0;0;0.217;0;0;0
384;1558;589;True;21;22;7.04;7.10;562.88;567.81;15.93;1.8;0;1.644;0.957;0;45
385;28255;586;False;;;1.18;0.43;79.00;29.00;1.62;0;0;0.108;0;0;0
386;31;641;True;780;750;31.76;2.82;2540.87;225.94;35.56;0.97;0;2.647;1.08;0;7
387;4165;607;False;;;0.28;2.77;19.00;185.00;3.05;0;0;0.203;0;0;0
388;582;622;True;2195;637;7.92;7.04;633.60;563.37;18.13;3.17;0;3.29;2.545;0;20
389;242;641;True;756;750;3.97;2.82;317.43;225.94;7.86;1.07;0;1.671;1.182;0;7
390;290;698;False;;;2.52;3.03;167.00;202.00;5.55;0;0;0.37;0;0;0
391;56;675;True;1390;1392;0.94;6.75;75.02;540.31;9.72;2.03;0;1.836;1.369;0;76
392;231;589;True;2264;39;2.10;4.87;168.22;389.59;12.07;5.1;0;2.71;2.42;0;113
393;6;687;False;;;12.15;1.12;810.00;75.00;13.27;0;0;0.885;0;0;0
394;3725;559;False;;;1.63;1.38;109.00;92.00;3.02;0;0;0.201;0;0;0
395;126;631;False;;;1.92;2.23;128.00;148.00;4.15;0;0;0.276;0;0;0
396;55;631;True;796;806;3.47;3.06;277.96;244.74;10.16;3.63;0;3.315;2.84;0;13
397;58;667;True;616;60417;7.74;2.39;618.98;191.46;12.41;2.28;0;2.705;1.958;0;14
398;169;597;True;1149;1718;6.84;5.49;547.42;438.84;15.33;3;0;2.665;2.126;0;54
399;611;694;True;2164;2165;4.57;15.58;365.73;1246.54;21.33;1.18;0;1.195;0.625;0;16
400;129;623;True;1537;1544;3.94;0.77;314.96;61.30;12.50;7.8;0;6.401;6.089;0;32
401;1002;515;True;25;26;5.18;0.29;414.34;23.05;7.49;2.02;0;1.053;0.755;0;42
402;31;628;True;1221;1223;1.50;0.42;120.25;33.93;5.78;3.85;0;2.311;2.222;0;8
403;21;589;True;9;11;1.56;6.67;124.63;533.94;10.98;2.75;0;1.035;0.715;0;163
404;4092;701;False;;;1.60;0.52;106.00;34.00;2.12;0;0;0.14;0;0;0
405;33;590;True;990;220863;1.20;1.43;96.22;114.56;4.83;2.2;0;2.454;2.372;0;25
406;463;642;False;;;0.55;2.07;37.00;137.00;2.62;0;0;0.174;0;0;0
407;36;630;True;1525;1328;1.12;2.07;89.39;165.35;3.91;0.73;0;0.834;0.657;0;35
408;260;689;True;1171;1174;4.03;3.06;322.20;244.54;8.53;1.45;0;1.857;1.507;0;7
409;12;691;True;1952;1654;74.01;3.91;5920.45;312.44;82.89;4.98;0;8.281;4.872;0;7
410;691;586;True;360;299;1.87;7.15;149.78;572.01;12.99;3.97;0;2.919;2.696;0;64
411;5208;608;False;;;13.55;1.05;903.00;70.00;14.60;0;0;0.973;0;0;0
412;403;674;True;1844;1802;2.89;2.65;230.85;211.79;11.01;5.48;0;3.261;2.945;0;8
413;36;707;True;33541;1520;18.04;2.40;1443.16;192.34;21.94;1.5;0;2.692;1.697;0;35
414;44;652;False;;;10.88;1.13;726.00;75.00;12.02;0;0;0.801;0;0;0
415;1599;620;True;1354;171;3.38;4.12;270.55;329.22;8.67;1.17;0;1.103;0.725;0;7
416;3591;691;False;;;3.00;4.02;200.00;268.00;7.02;0;0;0.468;0;0;0
417;300;582;True;2098;2259;1.84;2.96;147.17;237.11;8.48;3.68;0;2.243;1.964;0;48
418;1513;672;True;964;2143;3.29;1.52;262.99;121.69;5.48;0.67;0;0.536;0.306;0;16
419;13;691;True;1653;1654;62.85;3.91;5027.75;312.44;69.10;2.35;0;4.724;2.322;0;7
420;112;627;False;;;9.03;0.43;602.00;29.00;9.47;0;0;0.631;0;0;0
421;29;658;True;1241;1242;72.84;1.19;5827.17;95.41;74.91;0.88;0;4.115;0.532;0;8
422;42;707;True;1552;1553;25.34;2.03;2027.59;162.61;28.86;1.48;0;2.842;1.221;0;32
423;51;692;True;1554;1570;26.50;2.47;2120.17;164.00;34.00;5.03;0;6.102;4.384;0;4
424;28;708;True;1318;97126;29.02;0.12;2322.00;9.30;34.37;5.23;0;5.151;3.576;0;10
425;892;609;True;589;369;3.63;1.30;290.36;103.67;6.38;1.45;0;2.138;1.785;0;72
426;270;676;True;2112;2111;1.69;2.95;135.51;236.19;5.17;0.52;0;0.88;0.57;0;25
427;453;633;True;1140;1142;2.30;3.14;183.90;251.26;7.32;1.88;0;1.609;1.194;0;18
428;41;632;True;1236;1237;18.12;2.39;1449.91;191.43;22.12;1.6;0;2.115;0.941;0;8
429;47;590;True;989;220863;22.76;1.43;1820.81;114.56;27.86;3.67;0;4.234;3.566;0;22
430;3322;703;False;;;5.80;5.05;387.00;336.00;10.85;0;0;0.723;0;0;0
431;48;689;True;1014;1016;11.12;1.49;889.89;118.90;14.46;1.85;0;2.612;1.984;0;56
432;110;709;True;543;545;3.70;3.69;296.00;295.12;9.27;1.88;0;1.511;1.222;0;35
433;10120;609;True;363;364;2.37;1.09;189.83;87.24;4.39;0.93;0;0.775;0.544;0;113
434;110;709;True;541;545;0.62;3.69;49.51;295.12;8.06;3.75;0;2.533;2.406;0;18
435;914;678;True;402;403;2.79;1.31;223.40;104.71;4.62;0.52;0;0.712;0.427;0;17
436;2832;704;False;;;4.40;1.03;294.00;69.00;5.43;0;0;0.362;0;0;0
437;148;607;True;877;881;7.68;2.65;614.25;211.88;15.20;4.87;0;3.894;3.168;0;7
438;29;678;True;376;378;10.34;1.47;827.06;117.68;13.84;2.03;0;1.788;1.317;0;30
439;382;706;False;;;1.98;0.95;133.00;63.00;2.93;0;0;0.196;0;0;0
440;216;645;False;;;1.00;0.43;66.00;29.00;1.43;0;0;0.095;0;0;0
441;500;589;True;2072;39;2.26;4.87;180.53;389.59;11.58;4.45;0;2.393;2.141;0;125
442;47;593;True;1502;978;43.50;1.99;3480.14;159.57;49.80;4.3;0;5.354;3.07;0;47
443;287;623;False;;;1.78;0.38;119.00;26.00;2.17;0;0;0.145;0;0;0
444;151;590;True;989;220863;27.82;1.43;2225.56;114.56;32.92;3.67;0;5.084;3.566;0;17
445;621;657;False;;;1.23;2.10;82.00;140.00;3.33;0;0;0.222;0;0;0
446;47;627;True;1568;1574;67.04;1.82;5362.88;145.72;69.83;0.97;0;3.521;1.029;0;15
447;26;632;False;;;16.32;0.75;1087.00;50.00;17.07;0;0;1.137;0;0;0
448;387;708;False;;;3.22;0.35;214.00;23.00;3.57;0;0;0.237;0;0;0
449;601;633;False;;;6.12;1.87;407.00;124.00;7.98;0;0;0.531;0;0;0
450;1778;692;False;;;2.80;2.47;187.00;164.00;5.27;0;0;0.351;0;0;0
451;53;675;False;;;2.12;5.52;142.00;368.00;7.63;0;0;0.509;0;0;0
452;425;659;True;903;905;22.25;1.59;1780.20;127.43;25.40;1.55;0;1.828;1.24;0;27
453;119;627;True;1563;1567;9.19;1.60;735.32;127.94;14.97;4.18;0;3.744;3.338;0;31
