Zona_Origen;Poblacion_Origen;Zona_Destino;Usa_Transporte_Publico;Parada_Origen;Parada_Destino;Tiempo_Acceso_Minutos;Tiempo_Salida_Minutos;Distancia_Acceso_Metros;Distancia_Salida_Metros;Tiempo_Viaje_Total_Minutos;Tiempo_Trayecto_Minutos;Numero_Transbordos;Distancia_Viaje_Total_Km;Distancia_Trayecto_Km;Tiempo_Espera_Transbordo_Minutos;Frecuencia_Servicio
60;925;589;True;37;39;5.80;4.87;463.86;389.59;12.10;1.43;0;1.277;0.835;0;161
61;1185;589;True;2150;39;1.06;4.87;84.68;389.59;9.23;3.3;0;1.211;1.007;0;151
62;2381;574;True;466;495;2.01;0.86;160.78;68.65;5.07;2.2;0;2.474;2.289;0;47
63;3761;574;False;;;8.58;0.58;573.00;39.00;9.17;0;0;0.611;0;0;0
64;30;701;True;1307;1311;56.06;1.80;4484.70;144.10;60.68;2.82;0;4.284;2.167;0;51
65;45;636;False;;;6.37;3.02;424.00;201.00;9.38;0;0;0.625;0;0;0
66;50;562;True;1405;262540;2.22;2.89;177.37;231.30;8.56;3.45;0;1.892;1.637;0;33
67;43;624;True;2174;1523;30.14;1.43;2411.23;114.07;33.44;1.87;0;2.272;1.299;0;35
68;28;638;True;1490;1491;37.09;0.99;2967.43;79.14;41.01;2.93;0;2.669;1.901;0;31
69;10312;564;True;61;69146;0.87;0.78;69.23;62.49;1.93;0.28;0;0.271;0.16;0;18
70;53;652;False;;;1.63;0.67;109.00;44.00;2.30;0;0;0.153;0;0;0
71;155;656;True;1631;1633;9.44;1.68;755.58;113.00;13.69;2.57;0;2.325;1.493;0;18
72;372;632;False;;;3.03;0.75;202.00;50.00;3.78;0;0;0.252;0;0;0
73;787;640;True;1101;1102;1.03;2.39;82.23;190.95;4.26;0.85;0;0.826;0.62;0;32
74;33;623;True;1537;1544;7.47;0.77;597.61;61.30;16.04;7.8;0;6.489;6.089;0;32
75;22;665;True;1413;1417;29.23;1.65;2338.53;131.61;33.85;2.97;0;4.468;3.355;0;33
76;32;652;True;1083;1085;37.55;0.83;3004.30;66.08;39.75;1.37;0;3.389;1.178;0;32
77;7575;565;False;;;8.33;2.95;556.00;197.00;11.28;0;0;0.752;0;0;0
78;6;664;True;1040;1041;18.94;1.15;1515.01;91.73;22.05;1.97;0;2.831;1.525;0;9
79;89;569;True;1219;1096;9.52;5.50;761.97;440.33;15.95;0.92;0;1.554;0.683;0;39
80;56;642;True;1975;1973;45.26;2.59;3620.90;207.51;50.13;2.27;0;2.659;1.615;0;15
81;59;583;True;1541;1531;11.37;1.13;909.49;90.08;13.97;1.48;0;1.193;1.007;0;47
82;2494;637;True;2077;2265;4.91;0.23;393.07;18.43;9.79;4.65;0;1.96;1.679;0;30
83;24;662;True;1025;1029;16.18;1.02;1294.07;81.98;20.88;3.68;0;4.903;3.698;0;9
84;3737;574;True;435;495;0.98;0.86;78.69;68.65;5.74;3.9;0;3.194;3.081;0;67
85;37;653;True;1157;1158;25.36;4.87;2028.51;389.34;32.25;2.03;0;2.438;1.538;0;7
86;38;643;True;1862;1048;0.79;0.07;63.52;5.85;5.40;4.53;0;2.476;2.431;0;8
87;35;515;True;25;26;7.18;0.29;574.52;23.05;9.49;2.02;0;1.116;0.755;0;42
88;71;511;True;972;1992;8.87;1.04;709.78;83.16;13.58;3.67;0;2.036;1.447;0;84
89;45;692;True;1580;1569;1.52;2.47;121.28;164.00;8.54;4.55;0;3.122;2.828;0;27
90;4544;637;True;2154;2265;4.09;0.23;327.46;18.43;4.70;0.38;0;0.466;0.198;0;17
91;16507;569;False;;;3.55;4.65;237.00;309.00;8.20;0;0;0.546;0;0;0
92;36;665;True;1413;1417;35.87;1.65;2869.65;131.61;40.49;2.97;0;4.824;3.355;0;33
93;26;641;False;;;48.18;3.33;3213.00;222.00;51.52;0;0;3.435;0;0;0
94;2046;574;True;1696;512;3.60;0.83;287.65;66.47;14.23;9.8;0;6.194;5.951;0;17
95;100;646;True;1484;1485;32.13;5.14;2570.73;410.82;37.79;0.52;0;2.467;0.587;0;33
96;3804;639;False;;;3.45;7.12;230.00;474.00;10.57;0;0;0.704;0;0;0
