Zona_Origen,Poblacion_Origen,Zona_Destino,Usa_Transporte_Publico,Parada_Origen,Parada_Destino,Tiempo_Acceso_Minutos,Tiempo_Salida_Minutos,Distancia_Acceso_Metros,Distancia_Salida_Metros,Fuente_Datos_Acceso,Fuente_Datos_Salida,Tiempo_Viaje_Total_Minutos,Tiempo_Trayecto_Minutos,Numero_Transbordos,Distancia_Viaje_Total_Km,Distancia_Trayecto_Km,Tiempo_Espera_Transbordo_Minutos,Frecuencia_Servicio,Tiempo_Acceso_Original,Tiempo_Salida_Original,Distancia_Acceso_Original_Km,Distancia_Salida_Original_Km,Tiempo_Viaje_Original_Minutos,Tiempo_Total_Puerta_a_Puerta_Minutos,Verificacion_Tiempo_Total
411,5208.0,718,True,2173,2064,14.1987739225,2.5,1135.9019138,166.0,Calculado,Mapeado,54.6187739225,37.92,1.0,18.148,17.007,0.07,19.0,14.62,2.5,0.975,0.166,55.03,54.6187739225,54.6887739225
412,403.0,718,True,1807,284,10.3598628825,2.5,828.7890306,166.0,Calculado,Mapeado,66.6798628825,53.82,2.0,28.881,28.331,1.15,5.0,5.75,2.5,0.384,0.166,62.07,66.6798628825,67.82986288250001
413,36.0,718,True,33541,278,18.039466795000003,1.32,1443.1573436,88.0,Calculado,Mapeado,89.139466795,69.78,1.0,41.07,40.055,6.88,25.0,13.9,1.32,0.926,0.088,85.0,89.139466795,96.019466795
414,44.0,718,True,1109,284,12.47902083625,2.53,998.3216669,169.0,Calculado,Mapeado,77.02902083625,62.02,2.0,42.32,41.525,4.57,32.0,9.4,2.53,0.627,0.169,73.95,77.02902083625,81.59902083624999
415,1599.0,718,True,163,284,7.4548374925,2.53,596.3869994,169.0,Calculado,Mapeado,43.8648374925,33.88,1.0,15.685,15.129,0.48,45.0,5.82,2.53,0.387,0.169,42.23,43.8648374925,44.3448374925
416,3591.0,718,True,1587,284,5.32715789875,2.53,426.1726319,169.0,Calculado,Mapeado,162.18715789875,154.33,2.0,59.512,59.095,11.38,6.0,3.73,2.53,0.249,0.169,160.6,162.18715789875,173.56715789875
417,300.0,718,True,2188,278,16.70249126125,2.5,1336.1993009,166.0,Calculado,Mapeado,96.60249126125001,77.4,2.0,29.999,28.856,22.27,32.0,14.65,2.5,0.977,0.166,94.55,96.60249126125001,118.87249126125
418,1513.0,718,True,966,284,3.2503734162500004,2.53,260.0298733,169.0,Calculado,Mapeado,42.13037341625,36.35,3.0,25.413,25.113,5.47,22.0,1.95,2.53,0.13,0.169,40.83,42.13037341625,47.60037341625
419,13.0,718,True,1937,284,50.67807276375,2.53,4054.2458211,169.0,Calculado,Mapeado,203.40807276375,150.2,2.0,57.82,55.747,14.98,6.0,28.57,2.53,1.905,0.169,181.3,203.40807276375,218.38807276375
420,112.0,718,True,1567,284,16.5200141425,2.53,1321.6011314,169.0,Calculado,Mapeado,94.42001414250001,75.37,3.0,26.196,25.413,7.02,21.0,9.22,2.53,0.615,0.169,87.12,94.42001414250001,101.4400141425
421,29.0,718,True,1253,284,73.2375285075,2.53,5859.0022806,169.0,Calculado,Mapeado,175.8975285075,100.13,2.0,71.827,68.101,2.7,10.0,53.37,2.53,3.558,0.169,156.03,175.8975285075,178.5975285075
422,42.0,718,True,1521,278,25.5385391725,1.32,2043.0831338,88.0,Calculado,Mapeado,91.85853917249999,65.0,1.0,38.838,37.203,6.88,25.0,23.22,1.32,1.547,0.088,89.53,91.85853917249999,98.73853917249998
423,51.0,718,True,1554,278,26.50214051,1.32,2120.1712408,88.0,Calculado,Mapeado,159.22214051,131.4,3.0,56.306,54.665,28.17,4.0,23.3,1.32,1.554,0.088,156.02,159.22214051,187.39214051
424,28.0,718,True,1339,284,26.424315836250003,2.53,2113.9452669,169.0,Calculado,Mapeado,119.47431583625,90.52,3.0,29.795,28.11,13.0,9.0,22.75,2.53,1.516,0.169,115.8,119.47431583625,132.47431583625
425,892.0,718,True,590,284,3.89252925,2.53,311.40234,169.0,Calculado,Mapeado,18.15252925,11.73,0.0,8.198,7.785,0.0,31.0,3.67,2.53,0.244,0.169,17.93,18.15252925,18.15252925
426,270.0,718,True,114254,284,1.7703349137499995,2.5,141.6267931,166.0,Calculado,Mapeado,88.35033491375,84.08,1.0,34.84,34.543,24.53,18.0,1.95,2.5,0.131,0.166,88.53,88.35033491375,112.88033491375
427,453.0,718,True,1140,2064,2.2987746112500003,2.5,183.9019689,166.0,Calculado,Mapeado,75.17877461124999,70.38,1.0,35.158,34.8,9.0,12.0,2.87,2.5,0.191,0.166,75.75,75.17877461124999,84.17877461124999
428,41.0,718,True,1258,284,18.34647411875,2.53,1467.7179295,169.0,Calculado,Mapeado,111.39647411874999,90.52,2.0,63.707,62.413,2.7,13.0,16.87,2.53,1.124,0.169,109.92,111.39647411874999,114.09647411875
429,47.0,718,True,993,284,22.75310990375,2.53,1820.2487923,169.0,Calculado,Mapeado,110.26310990375,84.98,1.0,68.86,68.05,5.55,19.0,9.63,2.53,0.642,0.169,97.15,110.26310990375,115.81310990375
430,3322.0,718,True,1078,284,9.28337197125,1.32,742.6697577,88.0,Calculado,Mapeado,48.23337197125,37.63,1.0,19.774,19.299,2.27,35.0,5.8,1.32,0.387,0.088,44.75,48.23337197125,50.503371971250004
431,48.0,718,True,1070,284,11.21769823875,2.53,897.4158591,169.0,Calculado,Mapeado,64.72769823875,50.98,2.0,35.742,35.05,4.57,43.0,7.85,2.53,0.524,0.169,61.37,64.72769823875,69.29769823875
432,110.0,718,True,754,283,14.51260633375,4.08,1161.0085067,272.0,Calculado,Mapeado,51.37260633375,32.78,1.0,14.38,13.707,3.65,27.0,6.02,4.08,0.401,0.272,42.88,51.37260633375,55.02260633375
