Origin,Origin_Population,Destination,Uses_Public_Transport,FromStopPointNo,ToStopPointNo,Access_Time_Minutes,Egress_Time_Minutes,Access_Distance_Meters,Egress_Distance_Meters,Total_Time_Minutes,Journey_Type,Mejor_JRT,Mejor_NTR,Mejor_RIT,Mejor_ACT,Mejor_EGT,Mejor_ACD,Mejor_EGD,Mejor_SFQ,Mejor_JRD,Mejor_RID,Mejor_TWT
314,1529.0,718,True,37,2064,8.939987235,,715.1989788,,,Public Transport,25.5,0.0,16.28,6.72,2.5,0.448,0.166,19.0,9.925,9.31,0.0
315,185.0,718,True,585,284,5.5632412875,,445.059303,,,Public Transport,19.72,0.0,16.42,0.77,2.53,0.051,0.169,31.0,11.591,11.371,0.0
316,43.0,718,True,1975,278,59.145752077500006,,4731.6601662,,,Public Transport,99.55,2.0,64.2,34.03,1.32,2.269,0.088,15.0,36.35,33.993,9.35
317,68.0,718,True,672,278,1.4111312062499999,,112.8904965,,,Public Transport,73.67,1.0,67.8,1.78,4.08,0.119,0.272,17.0,28.11,27.72,12.52
318,559.0,718,True,1660,278,6.550196314999999,,524.0157052,,,Public Transport,60.02,1.0,53.12,5.58,1.32,0.372,0.088,30.0,29.349,28.889,6.88
319,36.0,718,True,75582,278,2.31100109,,184.8800872,,,Public Transport,59.2,1.0,56.78,1.1,1.32,0.074,0.088,24.0,31.33,31.169,6.88
320,69.0,718,True,1973,278,12.42236861625,,993.7894893,,,Public Transport,71.83,2.0,61.28,9.23,1.32,0.615,0.088,15.0,33.081,32.378,9.35
321,537.0,718,True,190,284,16.83819779125,,1347.0558233,,,Public Transport,60.15,2.0,44.38,13.23,2.53,0.883,0.169,36.0,13.833,12.782,6.62
322,8139.0,718,True,1487,284,8.23874250125,,659.0994001,,,Public Transport,105.87,1.0,99.83,4.72,1.32,0.315,0.088,31.0,78.285,77.882,1.78
323,2005.0,718,True,39,2064,9.03981004375,,723.1848035,,,Public Transport,23.53,0.0,13.78,7.25,2.5,0.484,0.166,31.0,9.125,8.475,0.0
324,35.0,718,True,1707,278,16.79826021125,,1343.8608169,,,Public Transport,102.87,2.0,92.42,7.92,2.53,0.528,0.169,6.0,33.398,32.702,25.47
325,42.0,718,True,1415,278,51.402512128750004,,4112.2009703,,,Public Transport,72.6,2.0,48.03,23.25,1.32,1.55,0.088,46.0,39.146,37.507,5.32
326,7457.0,718,True,817,284,3.3068263350000002,,264.5461068,,,Public Transport,18.63,0.0,13.43,2.67,2.53,0.178,0.169,31.0,9.722,9.376,0.0
327,1265.0,718,True,2004,278,2.2109725837500003,,176.8778067,,,Public Transport,84.0,2.0,80.63,2.05,1.32,0.136,0.088,15.0,48.329,48.104,9.35
328,22.0,718,True,1520,278,16.06527524,,1285.2220192,,,Public Transport,77.07,1.0,66.8,8.95,1.32,0.596,0.088,24.0,39.042,38.358,6.88
329,44.0,718,True,786,278,75.11803577875,,6009.4428623,,,Public Transport,158.02,1.0,98.03,55.9,4.08,3.727,0.272,7.0,55.321,51.323,12.52
330,120.0,718,True,2185,278,5.62056440875,,449.6451527,,,Public Transport,119.8,2.0,111.05,4.67,4.08,0.312,0.272,2.0,44.146,43.562,47.38
331,34.0,718,True,1781,283,27.66585853625,,2213.2686829,,,Public Transport,78.23,0.0,50.37,23.78,4.08,1.586,0.272,15.0,38.029,36.172,0.0
332,44.0,718,True,363,284,36.529365765,,2922.3492612,,,Public Transport,42.73,1.0,18.15,22.05,2.53,1.47,0.169,60.0,8.819,7.181,1.28
333,28.0,718,True,789,278,39.604691904999996,,3168.3753524,,,Public Transport,123.2,1.0,94.68,24.43,4.08,1.629,0.272,7.0,50.609,48.709,12.52
334,110.0,718,True,15,283,14.1969438325,,1135.7555066,,,Public Transport,36.98,0.0,19.38,15.1,2.5,1.006,0.166,33.0,12.064,10.892,0.0
335,1955.0,718,True,37,2064,6.01781787875,,481.4254303,,,Public Transport,22.53,0.0,16.28,3.75,2.5,0.25,0.166,18.0,9.727,9.31,0.0
336,523.0,718,True,1520,278,2.70096226375,,216.0769811,,,Public Transport,69.2,1.0,66.8,1.08,1.32,0.073,0.088,24.0,38.519,38.358,6.88
337,2684.0,718,True,2131,278,8.0921940925,,647.3755274,,,Public Transport,83.8,2.0,74.28,7.02,2.5,0.467,0.166,32.0,27.715,27.081,22.27
338,184.0,718,True,711,283,0.95776267875,,76.6210143,,,Public Transport,53.05,1.0,48.2,0.77,4.08,0.052,0.272,42.0,20.022,19.699,3.65
339,444.0,718,True,475,2064,13.662669382499999,,1093.0135506,,,Public Transport,33.17,0.0,17.92,12.75,2.5,0.85,0.166,13.0,12.366,11.35,0.0
340,44885.0,718,True,232,245,3.7976397349999997,,303.8111788,,,Public Transport,22.02,0.0,14.27,3.18,4.57,0.213,0.304,83.0,7.385,6.868,0.0
341,18.0,718,True,1937,284,58.1682019,,4653.456152,,,Public Transport,188.58,2.0,150.2,35.85,2.53,2.39,0.169,6.0,58.305,55.747,14.98
342,396.0,718,True,1392,278,4.4314362425,,354.5148994,,,Public Transport,50.58,1.0,44.4,4.87,1.32,0.324,0.088,34.0,23.07,22.658,2.27
343,46.0,718,True,773,278,31.12013108625,,2489.6104869,,,Public Transport,140.53,1.0,107.52,28.93,4.08,1.929,0.272,7.0,63.594,61.394,12.52
344,195.0,718,True,598,284,6.804665875,,544.37327,,,Public Transport,37.55,0.0,31.02,4.0,2.53,0.267,0.169,38.0,17.133,16.697,0.0
345,24.0,718,True,784,278,61.15906875375,,4892.7255003,,,Public Transport,146.23,1.0,99.75,42.4,4.08,2.827,0.272,7.0,55.813,52.715,12.52
346,478.0,718,True,1660,278,2.8947518175,,231.5801454,,,Public Transport,56.62,1.0,53.12,2.18,1.32,0.145,0.088,30.0,29.122,28.889,6.88
347,254.0,718,True,2029,278,2.94811710125,,235.8493681,,,Public Transport,19.7,0.0,14.6,2.6,2.5,0.173,0.166,31.0,8.81,8.471,0.0
