Zona_Origen,Poblacion_Origen,Zona_Destino,Usa_Transporte_Publico,Parada_Origen,Parada_Destino,Tiempo_Acceso_Minutos,Tiempo_Salida_Minutos,Distancia_Acceso_Metros,Distancia_Salida_Metros,Fuente_Datos_Acceso,Fuente_Datos_Salida,Tiempo_Viaje_Total_Minutos,Tiempo_Trayecto_Minutos,Numero_Transbordos,Distancia_Viaje_Total_Km,Distancia_Trayecto_Km,Tiempo_Espera_Transbordo_Minutos,Frecuencia_Servicio,Tiempo_Acceso_Original,Tiempo_Salida_Original,Distancia_Acceso_Original_Km,Distancia_Salida_Original_Km,Tiempo_Viaje_Original_Minutos,Tiempo_Total_Puerta_a_Puerta_Minutos,Verificacion_Tiempo_Total
24,25.0,707,True,33541.0,1520.0,35.595885894999995,2.40422720125,2847.6708716,192.3381761,Calculado,Calculado,39.50011309625,1.5,0.0,3.085,1.697,0.0,35.0,19.8,1.02,1.32,0.068,22.32,39.50011309625,39.50011309625
25,125.0,707,True,33541.0,1520.0,3.51549720625,2.40422720125,281.2397765,192.3381761,Calculado,Calculado,7.4197244075,1.5,0.0,2.048,1.697,0.0,35.0,4.23,1.02,0.283,0.068,6.75,7.4197244075,7.4197244075
26,440.0,641,True,113250.0,750.0,2.8165675075,2.82428233625,225.3254006,225.9425869,Calculado,Calculado,6.99084984375,1.35,0.0,1.898,1.535,0.0,7.0,2.12,3.33,0.141,0.222,6.8,6.99084984375,6.99084984375
27,91.0,684,True,1815.0,1816.0,3.6496724375,0.966745395,291.973795,77.3396316,Calculado,Calculado,5.0964178325,0.48,0.0,0.846,0.499,0.0,4.0,3.75,1.47,0.25,0.098,5.7,5.0964178325,5.0964178325
28,17603.0,562,True,1011.0,1679.0,2.14468116,0.91491851125,171.5744928,73.1934809,Calculado,Calculado,3.8395996712500002,0.78,0.0,0.695,0.525,0.0,87.0,1.8,0.75,0.12,0.05,3.33,3.8395996712500002,3.8395996712500002
29,23.0,693,True,1835.0,2307.0,30.641945975,2.14528763375,2451.355678,171.6230107,Calculado,Calculado,35.01723360875,2.23,0.0,2.622,1.453,0.0,15.0,16.93,0.6,1.129,0.04,19.77,35.01723360875,35.01723360875
30,36.0,653,False,,,354.2869398875,4.32,28342.955191,288.0,Calculado,Mapeado,358.6069398875,0.0,0.0,0.764,0.0,0.0,0.0,7.15,4.32,0.476,0.288,11.47,358.6069398875,358.6069398875
31,13139.0,561,True,30.0,31.0,10.88420359875,3.16161359625,870.7362879,252.9290877,Calculado,Calculado,14.965817195,0.92,0.0,1.031,0.383,0.0,33.0,6.35,3.38,0.423,0.226,10.65,14.965817195,14.965817195
32,100.0,685,False,,,560.4338960875,0.5,44834.711687,34.0,Calculado,Mapeado,560.9338960875,0.0,0.0,0.154,0.0,0.0,0.0,1.8,0.5,0.12,0.034,2.3,560.9338960875,560.9338960875
33,167.0,676,True,2106.0,2116.0,1.550153175,3.05190529625,124.012254,244.1524237,Calculado,Calculado,7.27205847125,2.67,0.0,2.71,2.424,0.0,19.0,1.5,2.78,0.1,0.185,6.95,7.27205847125,7.27205847125
34,934.0,616,True,1479.0,1475.0,5.13797641375,2.15542008,411.0381131,172.4336064,Calculado,Calculado,11.71339649375,4.42,0.0,3.506,3.08,0.0,48.0,4.68,1.72,0.312,0.114,10.82,11.71339649375,11.71339649375
35,5.0,627,True,1564.0,1567.0,20.7173559775,1.5992450175,1657.3884782,127.9396014,Calculado,Calculado,24.836600994999998,2.52,0.0,2.774,2.149,0.0,31.0,9.0,0.37,0.601,0.024,11.88,24.836600994999998,24.836600994999998
36,1543.0,689,True,1066.0,1068.0,5.0753008625,0.9417056175,406.024069,75.3364494,Calculado,Calculado,8.56700648,2.55,0.0,2.593,2.215,0.0,94.0,4.9,0.77,0.327,0.052,8.22,8.56700648,8.56700648
37,1909.0,622,False,,,233.18943738,4.15,18655.1549904,276.0,Calculado,Mapeado,237.33943738,0.0,0.0,0.42,0.0,0.0,0.0,2.15,4.15,0.143,0.276,6.3,237.33943738,237.33943738
38,81.0,675,False,,,445.96023510125,5.52,35676.8188081,368.0,Calculado,Mapeado,451.48023510125,0.0,0.0,0.638,0.0,0.0,0.0,4.05,5.52,0.27,0.368,9.57,451.48023510125,451.48023510125
39,32.0,623,False,,,443.0457640937501,0.38,35443.6611275,26.0,Calculado,Mapeado,443.4257640937501,0.0,0.0,0.285,0.0,0.0,0.0,3.88,0.38,0.259,0.026,4.27,443.4257640937501,443.4257640937501
40,20.0,701,True,1340.0,1344.0,8.75249743375,2.05496631125,700.1997947,164.3973049,Calculado,Calculado,16.257463745,5.45,0.0,2.997,2.764,0.0,10.0,2.98,0.52,0.199,0.034,8.95,16.257463745,16.257463745
41,247.0,706,True,844.0,846.0,2.01491927125,1.1055018,161.1935417,88.440144,Calculado,Calculado,4.2204210712500005,1.1,0.0,1.121,0.892,0.0,45.0,2.25,1.2,0.149,0.08,4.55,4.2204210712500005,4.2204210712500005
42,1245.0,624,False,,,491.22698233,1.62,39298.1585864,108.0,Calculado,Mapeado,492.84698233,0.0,0.0,0.215,0.0,0.0,0.0,1.6,1.62,0.107,0.108,3.22,492.84698233,492.84698233
43,25409.0,515,True,827.0,3.0,0.4815452999999999,5.0248696312500005,38.523624,401.9895705,Calculado,Calculado,8.05641493125,2.55,0.0,1.267,0.943,0.0,10.0,0.87,4.0,0.058,0.267,7.42,8.05641493125,8.05641493125
44,76.0,708,True,1322.0,97126.0,1.56526593375,0.1162897537499999,125.2212747,9.3031803,Calculado,Calculado,4.2515556875,2.57,0.0,2.147,2.005,0.0,10.0,1.78,0.35,0.119,0.023,4.7,4.2515556875,4.2515556875
45,35.0,704,True,1422.0,1425.0,8.7827784675,1.84074256,702.6222774,147.2594048,Calculado,Calculado,11.7935210275,1.17,0.0,3.867,3.22,0.0,23.0,7.82,1.88,0.521,0.126,10.87,11.7935210275,11.7935210275
46,7.0,696,True,659.0,661.0,10.4385343175,3.09073340375,835.0827454,247.2586723,Calculado,Calculado,15.79926772125,2.27,0.0,2.442,1.888,0.0,21.0,4.38,3.93,0.292,0.262,10.58,15.79926772125,15.79926772125
47,487.0,627,False,,,1.58,0.43,106.0,29.0,Mapeado,Mapeado,2.02,0.0,0.0,0.134,0.0,0.0,0.0,1.58,0.43,0.106,0.029,2.02,2.02,2.0100000000000002
48,544.0,677,True,447.0,448.0,16.12284062875,2.5425381375,1289.8272503,203.403051,Calculado,Calculado,19.83537876625,1.17,0.0,1.262,0.875,0.0,51.0,2.97,2.83,0.197,0.189,6.97,19.83537876625,19.83537876625
49,33744.0,566,True,186.0,1351.0,6.38596429625,1.17720747,510.8771437,94.1765976,Calculado,Calculado,9.44317176625,1.88,0.0,1.086,0.834,0.0,93.0,3.17,0.62,0.211,0.042,5.67,9.44317176625,9.44317176625
50,900.0,511,True,1356.0,1992.0,4.8836529275,1.03955254375,390.6922342,83.1642035,Calculado,Calculado,11.09320547125,5.17,0.0,2.764,2.474,0.0,110.0,3.6,0.75,0.241,0.05,9.52,11.09320547125,11.09320547125
51,66.0,708,True,1320.0,97126.0,2.85127564125,0.1162897537499999,228.1020513,9.3031803,Calculado,Calculado,6.947565395000001,3.98,0.0,2.977,2.788,0.0,10.0,2.48,0.35,0.165,0.023,6.82,6.947565395000001,6.947565395000001
52,608.0,626,False,,,454.55200718125,1.18,36364.1605745,78.0,Calculado,Mapeado,455.73200718125,0.0,0.0,0.092,0.0,0.0,0.0,0.2,1.18,0.014,0.078,1.38,455.73200718125,455.73200718125
