Zona_Origen,Nombre_Zona_Origen,Poblacion_Origen,Zona_Destino,Usa_Transporte_Publico,Parada_Origen,Parada_Destino,Tiempo_Acceso_Minutos,Tiempo_Salida_Minutos,Distancia_Acceso_Metros,Distancia_Salida_Metros,Fuente_Datos_Acceso,Fuente_Datos_Salida,Tiempo_Viaje_Total_Minutos,Tiempo_Trayecto_Minutos,Numero_Transbordos,Distancia_Viaje_Total_Km,Distancia_Trayecto_Km,Tiempo_Espera_Transbordo_Minutos,Frecuencia_Servicio,Tiempo_Acceso_Original,Tiempo_Salida_Original,Distancia_Acceso_Original_Km,Distancia_Salida_Original_Km,Tiempo_Viaje_Original_Minutos,Tiempo_Total_Puerta_a_Puerta_Minutos,Verificacion_Tiempo_Total
24,Altzuaga,25,901,True,33541.0,1078.0,35.595885894999995,0.91846033625,2847.6708716,73.4768269,Calculado,Calculado,65.94434623125,29.43,0,23.185,21.803,0.0,35,19.8,0.93,1.32,0.062,50.17,65.94434623125,65.94434623125
25,Altzusta,125,901,True,33541.0,1078.0,3.51549720625,0.91846033625,281.2397765,73.4768269,Calculado,Calculado,33.863957542499996,29.43,0,22.148,21.803,0.0,30,4.23,0.93,0.283,0.062,34.6,33.863957542499996,33.863957542499996
26,Ambasaguas,440,902,True,784.0,209.0,3.10050352,1.58,248.0402816,106.0,Calculado,Mapeado,82.93050352,78.25,2,50.861,50.614,8.85,7,2.12,1.58,0.141,0.106,81.95,82.93050352,91.78050352
27,Ametzaga,91,904,True,1148.0,2220.0,11.47727080125,0.90773412,918.1816641,72.6187296,Calculado,Calculado,41.81500492125,29.43,1,17.086,16.368,1.15,15,10.07,0.7,0.671,0.047,40.2,41.81500492125,42.96500492125
28,Amorebieta,17603,901,True,1073.0,1078.0,2.8749088825,0.91846033625,229.9927106,73.4768269,Calculado,Calculado,15.12336921875,11.33,0,9.176,8.971,0.0,35,2.15,0.93,0.143,0.062,14.42,15.12336921875,15.12336921875
29,Andaparaluzeta,23,901,True,1836.0,1078.0,30.59521040625,0.91846033625,2447.6168325,73.4768269,Calculado,Calculado,75.6336707425,44.12,0,30.015,28.815,0.0,15,17.07,0.93,1.138,0.062,62.12,75.6336707425,75.6336707425
30,Andeko,36,904,True,1191.0,2220.0,9.38155278625,0.90773412,750.5242229,72.6187296,Calculado,Calculado,71.73928690625,61.45,1,19.62,19.09,25.72,5,7.25,0.7,0.483,0.047,69.4,71.73928690625,97.45928690625
31,Andra Mari Getxo,13139,903,True,30.0,2064.0,10.88420359875,2.5,870.7362879,166.0,Calculado,Mapeado,39.45420359875,26.07,0,14.444,13.855,0.0,18,6.35,2.5,0.423,0.166,34.92,39.45420359875,39.45420359875
32,Andra Mari Morga,100,901,True,1706.0,1078.0,2.15254951875,0.91846033625,172.2039615,73.4768269,Calculado,Calculado,29.271009855,26.2,1,14.392,14.21,3.88,4,1.8,0.93,0.12,0.062,28.93,29.271009855,33.151009855
33,Andraka,167,903,True,2106.0,284.0,1.550153175,2.5,124.012254,166.0,Calculado,Mapeado,86.78015317500001,82.73,1,33.355,33.089,24.53,15,1.5,2.5,0.1,0.166,86.73,86.78015317500001,111.31015317500001
34,Apatamonasterio,934,901,True,1479.0,1078.0,5.13797641375,0.91846033625,411.0381131,73.4768269,Calculado,Calculado,53.526436749999995,47.47,0,28.439,28.065,0.0,36,4.68,0.93,0.312,0.062,53.08,53.526436749999995,53.526436749999995
35,Arakaldo,5,901,True,1564.0,1005.0,20.7173559775,1.089115005,1657.3884782,87.1292004,Calculado,Calculado,66.9564709825,45.15,0,21.549,20.875,0.0,27,9.0,1.1,0.601,0.074,55.25,66.9564709825,66.9564709825
36,Arana,1543,901,True,1066.0,1078.0,5.0753008625,0.91846033625,406.024069,73.4768269,Calculado,Calculado,34.623761198749996,28.63,0,22.374,21.984,0.0,16,4.9,0.93,0.327,0.062,34.47,34.623761198749996,34.623761198749996
37,Aranguren,1909,903,True,637.0,283.0,4.11514505625,4.08,329.2116045,272.0,Calculado,Mapeado,40.27514505625,32.08,0,23.459,23.044,0.0,14,2.15,4.08,0.143,0.272,38.32,40.27514505625,40.27514505625
38,Arantxe,81,901,True,1392.0,1078.0,7.495646618749999,0.91846033625,599.6517295,73.4768269,Calculado,Calculado,15.864106954999999,7.45,0,4.738,4.405,0.0,65,4.05,0.93,0.27,0.062,12.43,15.864106954999999,15.864106954999999
