Origin,Origin_Population,Destination,Uses_Public_Transport,FromStopPointNo,ToStopPointNo,Access_Time_Minutes,Egress_Time_Minutes,Access_Distance_Meters,Egress_Distance_Meters,Total_Time_Minutes,Journey_Type,Mejor_JRT,Mejor_NTR,Mejor_RIT,Mejor_ACT,Mejor_EGT,Mejor_ACD,Mejor_EGD,Mejor_SFQ,Mejor_JRD,Mejor_RID,Mejor_TWT
147,13.0,726,True,1939.0,197.0,48.338551977499996,1.7622562262500001,3867.0841582,140.9804981,138.13414153708334,Public Transport,88.03,0.0,59.62,26.83,1.58,1.789,0.105,7.0,33.935,32.041,0.0
148,722.0,738,True,2161.0,1648.0,4.14315231625,6.839990448749999,331.4521853,547.1992359,32.96647609833333,Public Transport,21.98,1.0,13.32,2.63,6.03,0.176,0.402,5.0,9.572,8.994,0.12
149,26.0,713,True,1166.0,1689.0,41.35772534125,0.7462701862500001,3308.6180273,59.7016149,83.22066219416666,Public Transport,41.12,0.0,16.2,24.43,0.48,1.629,0.032,6.0,11.718,10.057,0.0
150,93.0,713,True,1059.0,1274.0,21.047212135000002,2.98574116875,1683.7769708,238.8592935,58.91628663708334,Public Transport,34.88,0.0,11.25,20.0,3.63,1.333,0.243,8.0,9.254,7.678,0.0
151,115.0,714,True,832.0,329.0,7.4525528925,2.0380568287500003,596.2042314,163.0445463,18.54060972125,Public Transport,9.05,0.0,3.45,3.48,2.12,0.232,0.141,64.0,2.333,1.96,0.0
152,138.0,716,True,1392.0,1078.0,6.464095777500001,0.9184603362500001,517.1276622,73.4768269,20.66588944708333,Public Transport,13.28,0.0,7.45,4.9,0.93,0.326,0.062,65.0,4.794,4.405,0.0
153,20.0,716,True,1537.0,1078.0,21.35596018375,0.9184603362500001,1708.4768147,73.4768269,56.257753853333334,Public Transport,33.98,1.0,15.33,17.72,0.93,1.181,0.062,45.0,9.708,8.465,0.1
154,6578.0,727,True,1485.0,1375.0,5.22370247625,1.6399802562499999,417.8961981,131.1984205,28.930349399166662,Public Transport,22.07,0.0,15.37,5.42,1.28,0.361,0.086,33.0,10.551,10.104,0.0
155,1589.0,738,True,1647.0,2220.0,3.451545445,0.90773412,276.1236356,72.6187296,10.759279565,Public Transport,6.4,0.0,3.37,2.33,0.7,0.156,0.047,21.0,1.315,1.112,0.0
156,418.0,507,True,473.0,111.0,1.7098828950000002,5.23873227375,136.7906316,419.0985819,24.815281835416666,Public Transport,17.87,0.0,11.98,1.23,4.65,0.082,0.31,34.0,8.479,8.086,0.0
